SUBNET,OUTFALL,N_NODES,KM,Q_M3D,X,Y,Z,D_MAIN_M,PATH_MAX_M,FALL_MIN_M,N_BELOW,DEF_MAX_M,DEF_FLOOR_M,N_OVER_BUDGET,GRAVITY,N_BREACH,N_RESCUED,WORST_WAS_M,WORST_AFTER_M
S001,N005087,1324,158.0036937891302,6454.538654237813,451730.776647,2572623.842903,378.6669921875,3.356433314366298,15075.324,-9.699737548828125,238,50.78254245978821,14.964523048828125,623,NOT on gravity inside the cover cap,266.0,29.0,44.41,43.29
S002,N003536,1377,122.3759360997305,5707.691349379735,449912.099762,2568732.67321,356.2699890136719,3.130925673582148,8933.592,-1.699005126953125,13,15.20610166015625,2.310846876953125,17,gravity if the big pipes are laid flat,17.0,0.0,15.21,15.73
S003,N003279,691,76.96162163627399,3810.4721552794986,449147.757904,2567800.171735,352.3705139160156,0.19694307093080465,14590.638,-22.700958251953125,604,95.65414825195313,33.64393675195313,573,NOT on gravity inside the cover cap,573.0,0.0,95.65,95.81
S004,N001038,468,76.72597575271944,1419.6305384615398,445664.518213,2563174.812056,327.8215637207031,4.786052200597465,11522.998,-18.60723876953125,233,59.82500376953125,24.78990351953125,268,NOT on gravity inside the cover cap,268.0,0.0,59.83,60.34
S005,N002822,534,62.6232368808321,2378.985881733055,448426.382551,2567652.575451,349.6939697265625,3.6601409888083243,10955.257000000001,-13.676300048828125,211,60.5117477270656,20.279859693239526,461,NOT on gravity inside the cover cap,461.0,0.0,60.51,59.43
S006,N007564,541,59.63779996834403,2969.7696386331327,459201.382305,2568020.652793,382.798095703125,3.818627864943709,8095.667,-8.319580078125,198,42.66620471679687,12.992177716796876,453,NOT on gravity inside the cover cap,453.0,44.0,42.67,41.95
S007,N001688,345,39.09011230776551,1600.8675762158764,446780.354496,2565204.674679,341.35699462890625,1.6559539732808723,9128.863,-26.344818115234375,334,71.39798811523437,33.102793615234376,299,NOT on gravity inside the cover cap,299.0,26.0,71.4,58.76
S008,N009409,145,38.7727421059816,322.491,469501.978633,2564322.193246,417.5010070800781,1.6270857501831086,6023.914000000001,-11.485931396484375,36,28.572976396484375,14.048988146484376,22,NOT on gravity inside the cover cap,8.0,8.0,28.57,10.57
S009,N000173,117,36.73694937616058,1450.79482758621,442064.743045,2569072.417321,334.1347961425781,1.3576797038987856,13661.927000000001,-22.677032470703125,99,90.98666747070313,32.923477720703126,72,NOT on gravity inside the cover cap,2.0,0.0,15.08,28.49
S010,N005516,262,32.04992063470454,1588.24774523007,453065.561324,2566674.508536,357.38641357421875,1.3641888875106198,4936.5291960058275,-3.437042236328125,18,13.757206533203124,4.420082236328125,13,gravity if the big pipes are laid flat,13.0,0.0,13.76,16.51
S011,N001463,274,30.78722848629818,1397.8471899207448,446428.550647,2564506.4921,335.3377380371094,3.892932815459191,4463.142358617019,-4.432891845703125,74,19.157962431640627,5.682965550781249,77,gravity if the big pipes are laid flat,77.0,32.0,19.16,17.68
S012,N008125,188,30.65462821398213,1038.123,460845.093667,2578417.186535,425.6375732421875,0.08639753291622233,5574.652182629794,-4.7662353515625,52,25.104276826171873,6.5775783125,145,gravity if the big pipes are laid flat,145.0,2.0,25.1,25.32
S013,N007761,258,28.748811,1582.6000000000001,459838.045841,2567762.86944,383.1453857421875,1.4638953187266177,6726.413,-1.215576171875,5,17.211750341796872,1.272855921875,70,gravity if the big pipes are laid flat,70.0,0.0,17.21,18.95
S014,N007524,204,28.087798928208976,1058.0790207690397,459106.878243,2568058.917233,381.798583984375,1.75339500201856,8610.401,-20.758636474609375,187,62.403323359375,26.946105724609374,147,NOT on gravity inside the cover cap,147.0,0.0,62.4,63.57
S015,N004648,369,23.660615,994.156,451015.735534,2567194.218816,352.9433288574219,4.122010888296412,3753.659000000001,-1.41009521484375,8,4.465498193359376,1.81403321484375,0,gravity,0.0,0.0,,
S016,N001856,198,19.184622311976135,1040.3998693199553,447026.038287,2565695.2498,342.2581787109375,1.9753578395266507,5752.6489999999985,-14.53094482421875,190,43.28360022460938,18.834841974609375,149,NOT on gravity inside the cover cap,149.0,5.0,43.28,41.69
S017,N008025,155,18.59015754835716,774.607,460638.540204,2578385.587221,425.2724304199219,0.6790650710301028,5702.32754835716,0.0,0,23.02265458748893,0.0,16,gravity if the big pipes are laid flat,16.0,0.0,23.02,23.53
S018,N007508,95,15.832027999999998,363.16999999999996,459073.391655,2578155.015046,422.1097412109375,3.4770604398423113,3922.044,-11.228729248046875,84,30.538224248046873,14.125153498046874,47,NOT on gravity inside the cover cap,47.0,0.0,30.54,30.96
S019,N006167,119,14.317555492793872,638.8139999999999,454173.892294,2575321.786047,396.9432067871094,3.9506406683138304,6327.501404706444,-1.249267578125,1,16.185565363375982,1.355172828125,23,gravity if the big pipes are laid flat,1.0,0.0,10.81,19.52
S020,N008726,31,13.475607,196.525,462531.90218,2567268.092225,389.79266357421875,1.7040118193678517,4792.977,-2.70172119140625,10,10.239238027343749,3.19424994140625,0,gravity,0.0,0.0,,
S021,N002173,139,13.138167000000001,665.322,447505.14623,2566505.547287,345.0488586425781,0.9985167807141375,4487.861,-13.423248291015625,135,35.86255329101563,16.789144041015625,74,NOT on gravity inside the cover cap,74.0,9.0,35.86,35.92
S022,N005842,116,11.71856319940588,408.6689999999999,453637.070518,2574112.975043,388.4976806640625,4.307261942487264,3686.580199405879,-4.51702880859375,66,20.3164681845294,6.82763255859375,40,gravity if the big pipes are laid flat,40.0,0.0,20.32,21.48
S023,N009671,54,11.054703,447.33000000000004,474582.217684,2574770.827739,496.54766845703125,4.291375417430856,3819.165,-4.821136474609375,6,9.549856982421876,5.529405724609375,0,gravity,0.0,0.0,,
S024,N003611,124,10.841161000000001,388.287,450004.193325,2570283.85626,363.6759033203125,2.338574284714018,3471.679,-1.622894287109375,11,5.417749287109376,2.192122537109375,0,gravity,0.0,0.0,,
S025,N009666,27,9.602169000000002,60.22,474455.144496,2571775.585198,493.70184326171875,1.7114118283472934,4145.329,-3.505706787109375,8,8.254726787109375,4.218059787109375,0,gravity,0.0,0.0,,
S026,N006143,97,9.271222859764991,356.79832313057136,454131.460311,2575214.656004,395.9168701171875,1.9944714201616551,2751.2858208384982,-3.817413330078125,53,11.447043330078124,4.961857830078125,2,gravity if the big pipes are laid flat,2.0,2.0,11.45,7.29
S027,N009060,60,8.473154000000001,285.229,464335.578552,2577837.383491,436.7063293457031,3.0000147564989357,2379.453,-3.88336181640625,36,14.978124072265626,5.50029956640625,9,gravity if the big pipes are laid flat,9.0,0.0,14.98,15.72
S028,N009028,68,7.976039261621137,426.97322727273007,464070.601746,2577929.077665,435.0389404296875,2.99996513203497,3036.8699999999994,-0.331817626953125,1,11.808569101562501,1.1044213515625,2,gravity if the big pipes are laid flat,2.0,1.0,11.81,11.38
S029,N006617,72,7.569722496997714,296.141044083846,455118.686706,2567616.154916,365.084228515625,2.7728162657392836,2615.9089061992477,-2.5845947265625,31,12.441910253652484,3.8306649062119353,7,gravity if the big pipes are laid flat,7.0,0.0,12.44,14.2
S030,N002064,76,7.420248,326.38399999999996,447353.45443,2566249.555214,343.58563232421875,0.9923185767837709,2692.4670000000006,-0.84478759765625,7,12.598504433593755,1.4744650976562501,2,gravity if the big pipes are laid flat,2.0,0.0,12.6,12.28
S031,N003373,82,6.952656197335623,347.9233428351339,449486.096651,2568501.374879,354.7161865234375,4.783736334800588,2087.2659999999996,0.0,0,3.6441861523437495,0.05668724999999997,0,gravity,0.0,0.0,,
S032,N009288,23,5.293792000000001,121.46600000000001,467396.46939,2576139.939396,450.71038818359375,2.996026109779634,2286.503,-1.294219970703125,1,6.6418299707031245,2.096361470703125,0,gravity,0.0,0.0,,
S033,N002292,56,5.162405000000001,237.66199999999998,447717.523747,2566864.420389,346.39874267578125,0.9998460024602434,2039.653,-1.8150634765625,19,6.928733749999999,2.2947597265625,0,gravity,0.0,0.0,,
S034,N009249,21,5.042080000000001,118.47300000000001,466185.054573,2565693.508781,402.9464416503906,4.050290191328383,2765.5649999999996,0.0,0,7.349156787109376,0.0011568417968750022,0,gravity,0.0,0.0,,
S035,N007077,13,3.863191,133.96200000000002,456942.238099,2568634.665652,375.2434387207031,0.9637640308485311,1619.778,-7.170196533203125,12,15.269086533203126,8.385030033203126,7,gravity if the big pipes are laid flat,7.0,0.0,15.27,16.0
S036,N001900,35,3.834999,220.82700000000003,447093.434777,2565812.612885,342.000244140625,0.5248968153716351,1160.428,-0.4986572265625,4,3.6721922265625,0.9746874765625,0,gravity,0.0,0.0,,
S037,N006927,32,3.7827835945407937,184.76422857143956,456160.118259,2568378.425687,371.8326110839844,3.0294092731805535,1637.08,-4.835968017578125,25,11.955358496093751,5.470076517578125,1,gravity if the big pipes are laid flat,1.0,0.0,11.96,14.3
S038,N008190,42,3.5479897836243786,187.49599999999998,460968.088267,2578619.832138,426.1611022949219,0.991019199021555,1750.4769999999999,0.0,0,5.774789033203126,0.0,0,gravity,0.0,0.0,,
S039,N003537,49,3.5470569999999997,163.031,449912.467876,2567635.877536,352.1536865234375,2.840121144740704,1443.9260000000002,0.0,0,4.288108310546876,0.05249916796874998,0,gravity,0.0,0.0,,
S040,N002006,38,3.1828600000000002,228.439,447268.073179,2566106.128442,342.4317932128906,0.9961480484866007,913.8170000000001,-2.245574951171875,18,5.102389951171875,2.674097201171875,0,gravity,0.0,0.0,,
S041,N008223,37,2.8327319999999996,113.827,461037.542603,2578675.314297,425.79913330078125,4.199175886828813e-06,1544.012,-0.009796142578125,0,5.703944609375,0.5321976914062502,0,gravity,0.0,0.0,,
S042,N008837,12,2.8038210000000006,40.759,462966.575147,2578590.436862,429.8766784667969,3.0116724585727357,2065.7940000000003,-0.440338134765625,6,5.898204794921876,0.595317384765625,0,gravity,0.0,0.0,,
S043,N001636,28,2.7517160000000005,105.16899999999998,446695.849535,2565029.837164,341.7433166503906,1.269086985898229,1635.7939999999999,-3.414886474609375,4,5.481406474609376,3.724864474609375,0,gravity,0.0,0.0,,
S044,N008942,28,2.6672849999999997,151.30700000000002,463659.937244,2578119.789548,433.5401916503906,3.478164963206281,1146.0140000000001,-1.976806640625,13,7.706876640625,2.836317140625,0,gravity,0.0,0.0,,
S045,N002762,22,2.5454330000000005,89.875,448362.514905,2567335.511059,348.74102783203125,0.7534518285676699,1418.7850000000003,-1.89898681640625,10,8.39158181640625,2.87287606640625,0,gravity,0.0,0.0,,
S046,N002351,30,2.2336180000000003,128.64,447821.208755,2567039.224991,346.5644836425781,0.9994470504374852,1478.8139999999999,-2.359161376953125,28,9.753231376953124,3.468271876953125,0,gravity,0.0,0.0,,
S047,N009239,8,2.011132,18.018,465995.532167,2576985.278356,444.9594421386719,2.9999738236510742,1282.7199999999998,-3.3232421875,6,9.7368421875,4.2852821875,0,gravity,0.0,0.0,,
S048,N006225,17,1.963649907716721,89.58424369748326,454296.283037,2566987.866831,364.1216735839844,1.6695049912428876,651.952,-5.31591796875,14,7.77778796875,5.68519846875,0,gravity,0.0,0.0,,
S049,N009430,12,1.9618600000000002,71.475,469809.076995,2574860.363877,463.3126220703125,1.9615916198364158,1013.5669999999999,-2.631500244140625,7,5.840298779296875,2.948373744140625,0,gravity,0.0,0.0,,
S050,N009367,10,1.928656,34.285999999999994,468792.082603,2575383.371003,457.0073547363281,3.1539538333784116,1221.596,0.0,0,5.6657497753906245,0.47396677539062504,0,gravity,0.0,0.0,,
S051,N005708,15,1.8471609999999998,63.931,453442.73672,2566674.11867,358.2192687988281,3.665296474232946,1052.4340000000002,-0.495208740234375,3,4.765513056640625,0.9502838066406251,0,gravity,0.0,0.0,,
S052,N009229,11,1.7982810000000002,98.49099999999999,465856.929337,2577072.53915,444.2242431640625,3.006861030071074,1097.5030000000002,-1.496734619140625,9,5.910152939453126,2.061906869140625,0,gravity,0.0,0.0,,
S053,N009316,16,1.703358,59.098,468046.684174,2575730.964788,453.5499572753906,2.999993234352279,1017.6859999999999,-3.264251708984375,8,4.860158515625001,3.426414458984375,0,gravity,0.0,0.0,,
S054,N009660,5,1.656559,49.095,474392.57343,2571767.399206,494.98187255859375,1.5000115129677485,1471.547,-2.3104248046875,1,3.7889798046875,2.5322080546875,0,gravity,0.0,0.0,,
S055,N002628,13,1.6413783322439752,49.815,448219.738963,2567240.201133,348.2309875488281,2.942319518085281,682.387874057606,-0.565643310546875,4,3.6484008972978095,0.923099310546875,0,gravity,0.0,0.0,,
S056,N008872,8,1.474482,53.254,463205.199278,2578442.147183,431.0653076171875,2.645251205420369,1447.388,-3.215423583984375,4,10.452363583984376,4.300964583984375,0,gravity,0.0,0.0,,
S057,N002233,22,1.4519130000000002,63.228,447607.364696,2566677.951115,345.3607482910156,0.999313023561562,767.5120000000001,-0.829345703125,15,3.8262252539062502,1.000478853515625,0,gravity,0.0,0.0,,
S058,N008681,9,1.308369,36.908,462409.766442,2567269.091698,390.4932556152344,1.9604265425663325,802.1020000000001,-2.56451416015625,7,3.993145498046875,2.61795466015625,0,gravity,0.0,0.0,,
S059,N009639,8,1.3035475140478199,104.53699999999999,473651.066019,2572122.208576,493.4648132324219,4.999988885118769,858.5125140478199,-6.280853271484375,4,10.573415841723474,6.9247376570202395,0,gravity,0.0,0.0,,
S060,N006392,14,1.27244,64.449,454600.800822,2567220.254689,366.2239990234375,2.683230925069682,664.9369999999999,-4.97613525390625,12,7.16910638671875,5.26028550390625,0,gravity,0.0,0.0,,
S061,N008757,14,1.254965,60.506,462625.962317,2578822.02321,428.38360595703125,2.6929247510668697,699.2289999999999,-1.056854248046875,7,4.327596416015625,1.455013498046875,0,gravity,0.0,0.0,,
S062,N009379,4,1.219969,33.866,469019.668661,2575319.696059,457.2677307128906,3.0011993250228106,680.342,-2.291412353515625,2,5.547457353515625,2.779819103515625,0,gravity,0.0,0.0,,
S063,N009578,11,1.1984128194409982,63.77199999999999,472465.085551,2573790.557232,480.0359802246094,4.9432368297343094,827.613819440998,-1.635986328125,2,3.070666328125,1.851188328125,0,gravity,0.0,0.0,,
S064,N009627,8,1.144441,61.587,473449.379987,2574097.530244,484.4889831542969,1.0944315926869836,816.4749999999999,-0.845794677734375,1,1.767858271484375,0.935339427734375,0,gravity,0.0,0.0,,
S065,N009154,11,1.1341620000000001,49.155,465282.76114,2577432.905813,440.3802795410156,3.3174100069467496,643.9380000000001,-0.751068115234375,2,3.4338481152343747,1.153485115234375,0,gravity,0.0,0.0,,
S066,N001734,15,1.06282,49.062,446857.285312,2565366.598995,342.7153015136719,1.0171200641096938,486.911,-2.10162353515625,9,4.34494353515625,2.43812153515625,0,gravity,0.0,0.0,,
S067,N009195,13,1.0543000000000002,48.61,465612.291379,2566041.379085,400.7417907714844,4.322550032054488,514.071,-2.1934814453125,10,4.1760914453125,2.4908729453125,0,gravity,0.0,0.0,,
S068,N009219,10,1.019911,35.909,465746.948406,2565959.594534,402.05450439453125,0.08558876138869884,774.2389999999999,-0.681610107421875,6,4.031595390625,0.889858107421875,0,gravity,0.0,0.0,,
S069,N009392,4,1.002089,8.3,469271.537105,2575243.652265,457.6022644042969,0.5085219821568411,1002.0889999999999,0.0,0,0.5137339843749995,0.0,0,gravity,0.0,0.0,,
