NAME,KEY,CODE,LETTERS,FIRST,CLASHED_WITH,N_CLASH
AD DARIZ,dariz,DA,2,D,AD DIBAYSHI,1
AD DIBAYSHI,dibayshi,DI,2,D,AD DARIZ,1
AL AKHEEDAR,akheedar,AK,2,A,AL ARAQI; AL AYNAYN,2
AL ARAQI,araqi,AR,2,A,AL AKHEEDAR; AL AYNAYN,2
AL AYNAYN,aynayn,AY,2,A,AL AKHEEDAR; AL ARAQI,2
AL GHUBAYRAH,ghubayrah,G,1,G,,0
AL JAHLI,jahli,JA,2,J,AL JIBAYYAH,1
AL JIBAYYAH,jibayyah,JI,2,J,AL JAHLI,1
AL MAKHTIBYAH,makhtibyah,MA,2,M,MIAYRID,1
AL QALI,qali,QA,2,Q,AL QURAYN,1
AL QURAYN,qurayn,QU,2,Q,AL QALI,1
AL WAHRAH,wahrah,WAH,3,W,WADI AL MANKAS,1
ASH SHIAB,shiab,SHI,3,S,SATWAH; SAYH AL MASARRAT; SHALASHIL; SUWAYDA AL MA,4
AT TAYYIB,tayyib,TAY,3,T,TANAM,1
BAT,bat,B,1,B,,0
HIJAR,hijar,H,1,H,,0
IBRI,ibri,I,1,I,,0
MIAYRID,miayrid,MI,2,M,AL MAKHTIBYAH,1
SATWAH,satwah,SAT,3,S,ASH SHIAB; SAYH AL MASARRAT; SHALASHIL; SUWAYDA AL MA,4
SAYH AL MASARRAT,sayhalmasarrat,SAY,3,S,ASH SHIAB; SATWAH; SHALASHIL; SUWAYDA AL MA,4
SHALASHIL,shalashil,SHA,3,S,ASH SHIAB; SATWAH; SAYH AL MASARRAT; SUWAYDA AL MA,4
SUWAYDA AL MA,suwaydaalma,SU,2,S,ASH SHIAB; SATWAH; SAYH AL MASARRAT; SHALASHIL,4
TANAM,tanam,TAN,3,T,AT TAYYIB,1
USAYBUQ,usaybuq,U,1,U,,0
WADI AL MANKAS,wadialmankas,WAD,3,W,AL WAHRAH,1
