fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st,E,N,cl,osm_near
238,CRT Seasonal,56.5,23.2,56.516089,23.2169,Additional Account Tariff,Residential-Commercial,2.0,EXisting,450487.24438958167,2567613.287139804,-1,ATM bank Muscat [amenity=atm] 6m | Bank Muscat Al Murttafa branch [amenity=bank] 7m | alkahraman alfithi Pharmacy [amenity=pharmacy;healthcare=pharmacy] 23m
362,CRT Time of Use,56.5,23.2,56.454874,23.221065,CRT Time of Use,Residential-Commercial,2.0,EXisting,444225.4601480231,2568096.5524645634,81,D Building [building=yes] 11m | Hostel [amenity=parking] 15m | Hostel Gards [building=yes] 47m
363,CRT Time of Use,56.5,23.2,56.454874,23.221065,CRT Time of Use,Residential-Commercial,2.0,EXisting,444225.4601480231,2568096.5524645634,81,D Building [building=yes] 11m | Hostel [amenity=parking] 15m | Hostel Gards [building=yes] 47m
486,CRT Seasonal,56.5,23.2,56.514176,23.228757,Commercial,Residential-Commercial,2.0,EXisting,450295.8958165146,2568926.5764123835,106,Marjan Muscat Bakery and Markets [shop=supermarket] 10m
728,CRT Seasonal,56.6,23.3,56.615369,23.317417,CRT Seasonal,Commercial,3.0,EXisting,460674.99366602977,2578710.6879719784,6,Riad Al Driz Shopping Center [shop=convenience] 54m
1260,CRT Seasonal,56.5,23.1,56.476833,23.147847,CRT Seasonal,Residential,99.0,EXisting,446443.0994194129,2559982.658172151,-1,
1401,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1402,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1403,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1404,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1405,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1406,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1.0,EXisting,454011.65712635225,2574808.4185604216,69,
1665,CRT Seasonal,56.5,23.2,56.516444,23.220173,Additional Account Tariff,Residential-Commercial,2.0,EXisting,450524.7734595364,2567975.505383678,-1,AL Ariaf  Pharmacy [amenity=pharmacy;healthcare=pharmacy] 29m | F&M Grand Hotel [tourism=hotel] 35m
