tile,osm,lat,lon,name,name:en,name:ar,man_made,amenity,building,landuse,leisure,shop,tourism,healthcare,craft,office,power
0_1,node/1721768456,23.1491828,56.4504168,خلدة,Khuldah,خلدة,,,,,,,,,,,
0_1,node/1721768461,23.15,56.44,شعبة سليل,Shibat Salil,شعبة سليل,,,,,,,,,,,
0_1,node/1721768468,23.1504122,56.450173,طوييان مخطوبية,Tawiyan Mukhtobiyah,طوييان مخطوبية,well,,,,,,,,,,
0_1,node/1721773923,23.13,56.46,قارحة أم الهيش,Qarihat Umm al Haysh,قارحة أم الهيش,,,,,,,,,,,
0_1,node/1721773931,23.17,56.44,سيح محاريق,Sayh Maharaq,سيح محاريق,,,,,,,,,,,
0_1,node/1721773966,23.14,56.47,تنعم,Tanaam,تنعم,,,,,,,,,,,
0_1,node/1721774004,23.13,56.44,طويياه الغيتية,Tawiyah al Ghaytiyah,طويياه الغيتية,,,,,,,,,,,
0_1,node/1721774005,23.1799874,56.4800663,طوييان دبيشي,Tawiyan Dubayshi,طوييان دبيشي,well,,,,,,,,,,
0_1,node/3210305208,23.1486774,56.4533653,,,,,place_of_worship,,,,,,,,,
0_1,node/3210306482,23.1487401,56.4538241,المختبية,Al Mukhtobiyah,,,,,,,,,,,,
0_1,node/3359289177,23.1805164,56.494721,,,,,place_of_worship,,,,,,,,,
0_1,node/3359289439,23.1792072,56.4900056,,,,,place_of_worship,,,,,,,,,
0_1,node/3359305533,23.1820283,56.4804798,,,,,place_of_worship,,,,,,,,,
0_1,node/3359308271,23.1728225,56.4697162,,,,,place_of_worship,,,,,,,,,
0_1,node/3359312693,23.1807055,56.4708776,,,,,place_of_worship,,,,,,,,,
0_1,node/3811540691,23.1784349,56.4868418,الدبيشي,Ad Dibayshi,الدبيشي,,,,,,,,,,,
0_1,node/10261640430,23.1500055,56.4611546,,bank muskat,,,atm,,,,,,,,,
0_1,node/12595803553,23.1513152,56.4620382,,,,,place_of_worship,mosque,,,,,,,,
0_1,node/12595820789,23.1511392,56.4622789,,,,,drinking_water,,,,,,,,,
0_1,node/13421624015,23.1497272,56.46154,المها,,المها,,fuel,,,,,,,,,
0_1,node/13510109435,23.1624005,56.4731786,,,,,school,,,,,,,,,
0_1,way/46717763,23.1376929,56.4450575,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/243450124,23.1661036,56.4734534,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/243450125,23.1659599,56.4733332,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/243450127,23.1652337,56.4736508,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/243450129,23.1653246,56.4735029,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/243450130,23.1909073,56.4803479,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
0_1,way/314946880,23.1745802,56.4564545,محطة الصرف الصحي,,,wastewater_plant,,,,,,,,,,
0_1,way/314948590,23.1611246,56.4679731,صناعية تنعم,,,,,,industrial,,,,,,,
0_1,way/314951672,23.1460874,56.4761807,Shell,,شل,,fuel,yes,,,,,,,,
0_1,way/325397480,23.1685278,56.4698312,,,,,,,industrial,,,,,,,
0_1,way/907516928,23.1417378,56.4740987,طريق تنعم - قارة الملح,Tan'am - Qarat al Milh Road,طريق تنعم - قارة الملح,,,,,,,,,,,
0_1,way/907516929,23.1400445,56.475499,طريق تنعم - قارة الملح,Tan'am - Qarat al Milh Road,طريق تنعم - قارة الملح,,,,,,,,,,,
0_1,way/1008697910,23.1461329,56.4768128,,,,dyke,,,,,,,,,,
0_1,way/1008697911,23.1400596,56.4729054,,,,dyke,,,,,,,,,,
0_1,way/1102286527,22.9270602,56.5536107,طريق تنعم - قارة الملح,Tan'am - Qarat al Milh Road,طريق تنعم - قارة الملح,,,,,,,,,,,
0_1,way/1465615823,23.1567215,56.4671666,طريق عبري - الربع الخالي,Ibri - Rub' al Khali Road,طريق عبري - الربع الخالي,,,,,,,,,,,
