MoH_Classes,DERIVED,plots
Residential,Unmetered,55633
Residential,Residential,12820
Agricultural,Unmetered,3002
Residential-Commercial,Unmetered,1453
Commercial,Unmetered,975
Residential,Residential-Commercial,603
Residential,Commercial,589
Industrial,Industrial,307
Residential,Government,305
Residential-Commercial,Residential-Commercial,229
Residential,Agricultural,191
Tourism,Unmetered,177
Industrial,Unmetered,142
Residential-Commercial,Commercial,130
Agricultural,Government,99
Residential-Commercial,Industrial,74
Commercial,Residential-Commercial,64
Agricultural,Commercial,58
Commercial,Commercial,57
Agricultural,Residential,56
Residential-Commercial,Residential,48
Proposed,Unmetered,40
Residential,Industrial,35
Industrial,Commercial,28
Agricultural,Industrial,25
Commercial,Industrial,24
Commercial,Residential,17
Agricultural,Agricultural,16
Residential,Unresolved,16
Agricultural,Residential-Commercial,15
Residential-Commercial,Government,14
Industrial,Residential-Commercial,7
Commercial,Government,4
Proposed,Commercial,4
Proposed,Residential,3
Proposed,Residential-Commercial,1
Proposed,Government,1
Agricultural,Unresolved,1
Residential-Commercial,Unresolved,1
Industrial,Residential,1
