fid,Name,SETTLE,Buiding_St,Classes,DERIVED,CLASS2,GREEN,VEGFRAC,HIGH,G_DOM,G_NDOM,G_GOV,G_SPEC,G_AGR
0,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.201,0,0,0,0,0,0
1,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.507,0,0,0,0,0,0
2,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.638,0,0,0,0,0,0
3,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.12,0,0,0,0,0,0
4,Primary Account Tariff,AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.13,0,1,0,0,0,0
5,Additional Account Tariff,AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.155,0,1,0,0,0,0
6,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.591,0,0,0,0,0,0
7,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.235,0,0,0,0,0,0
8,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.73,0,0,0,0,0,0
9,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.028,0,0,0,0,0,0
10,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.539,0,0,0,0,0,0
11,,AT TAYYIB,Future,Residential,Unmetered,Agricultural,1,0.976,0,0,0,0,0,0
12,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.293,0,0,0,0,0,0
13,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.022,0,0,0,0,0,0
14,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.024,0,0,0,0,0,0
15,,AT TAYYIB,Future,Residential,Unmetered,Agricultural,1,1.0,0,0,0,0,0,0
16,,AT TAYYIB,Future,Residential,Unmetered,Agricultural,1,1.0,0,0,0,0,0,0
17,,AT TAYYIB,Future,Residential,Unmetered,Agricultural,1,0.999,0,0,0,0,0,0
18,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.502,0,0,0,0,0,0
19,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.18,0,0,0,0,0,0
20,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.737,0,0,0,0,0,0
21,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.677,0,0,0,0,0,0
22,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.54,0,0,0,0,0,0
23,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.702,0,0,0,0,0,0
24,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.725,0,0,0,0,0,0
25,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.666,0,0,0,0,0,0
26,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.972,0,0,0,0,0,0
27,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.238,0,0,0,0,0,0
28,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
29,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
30,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.53,0,0,0,0,0,0
31,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
32,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
33,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.395,0,0,0,0,0,0
34,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.007,0,0,0,0,0,0
35,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.366,0,0,0,0,0,0
36,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.442,0,0,0,0,0,0
37,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.731,0,0,0,0,0,0
38,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.831,0,0,0,0,0,0
39,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
40,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.002,0,0,0,0,0,0
41,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.11,0,0,0,0,0,0
42,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.008,0,0,0,0,0,0
43,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.147,0,0,0,0,0,0
44,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.048,0,0,0,0,0,0
45,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.392,0,0,0,0,0,0
46,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.054,0,0,0,0,0,0
47,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.184,0,0,0,0,0,0
48,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.261,0,0,0,0,0,0
49,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.365,0,0,0,0,0,0
50,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.155,0,0,0,0,0,0
51,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.114,0,0,0,0,0,0
52,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.034,0,0,0,0,0,0
53,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
54,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.286,0,0,0,0,0,0
55,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.422,0,0,0,0,0,0
56,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.607,0,0,0,0,0,0
57,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
58,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,1.0,0,0,0,0,0,0
59,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.346,0,0,0,0,0,0
60,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.762,0,0,0,0,0,0
61,,AL JIBAYYAH,Future,Residential,Unmetered,Unmetered,0,0.286,0,0,0,0,0,0
62,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.781,0,0,0,0,0,0
63,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.451,0,0,0,0,0,0
64,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.584,0,0,0,0,0,0
65,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.732,0,0,0,0,0,0
66,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.76,0,0,0,0,0,0
67,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.229,0,0,0,0,0,0
68,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.022,0,0,0,0,0,0
69,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.171,0,0,0,0,0,0
70,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.008,0,0,0,0,0,0
