SETTLE,POP_TODAY,DOM_PLOTS_BUILT,PROPS_PER_BUILT_PLOT,NDOM_METERS,GOV_METERS,FREE_METERS,FUT_CAP_PLOTS,FUT_CAP_PROPS,FUT_CAP_POP
AD DARIZ,12975.0,1786,1.242,820,82,0,4049,5029.0,26754.0
AD DIBAYSHI,3623.0,477,1.182,298,17,0,2167,2561.0,13625.0
AL AKHEEDAR,638.0,27,2.037,69,6,0,93,189.0,1005.0
AL ARAQI,13119.0,1498,1.378,1018,96,0,3057,4213.0,22413.0
AL AYNAYN,4729.0,625,1.21,204,26,0,1609,1947.0,10358.0
AL GHUBAYRAH,857.0,112,1.188,105,4,0,1321,1569.0,8347.0
AL JAHLI,1830.0,113,2.15,143,87,0,1137,2445.0,13007.0
AL JIBAYYAH,2788.0,334,1.332,96,20,0,2369,3156.0,16790.0
AL MAKHTIBYAH,484.0,65,1.154,115,4,0,1339,1545.0,8219.0
AL QALI,298.0,24,2.125,5,22,0,187,397.0,2112.0
AL QURAYN,782.0,124,1.145,14,7,0,1967,2252.0,11981.0
AL WAHRAH,3809.0,484,1.275,132,23,0,1668,2127.0,11316.0
ASH SHIAB,59.0,10,1.1,0,1,0,55,61.0,325.0
AT TAYYIB,4432.0,631,1.095,1214,21,0,9456,10354.0,55083.0
BAT,2224.0,300,1.26,51,26,0,714,900.0,4788.0
HIJAR,1873.0,202,1.673,63,4,0,341,570.0,3032.0
IBRI,58797.0,6172,1.352,4747,461,0,13322,18011.0,95819.0
MIAYRID,21.0,2,1.0,4,2,0,205,205.0,1091.0
SATWAH,144.0,24,1.125,5,0,0,144,162.0,862.0
SAYH AL MASARRAT,2431.0,134,2.515,128,99,0,1577,3966.0,21099.0
SHALASHIL,202.0,30,1.233,2,1,0,3561,4391.0,23360.0
SUWAYDA AL MA,1601.0,167,1.623,34,13,0,1262,2048.0,10895.0
TANAM,2144.0,216,1.315,402,32,0,1809,2379.0,12656.0
USAYBUQ,112.0,17,1.235,0,1,0,52,64.0,340.0
WADI AL MANKAS,43.0,8,1.0,0,0,0,1535,1535.0,8166.0
