PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P00004,C03,secondary header,sub main,200,24.0,3.15,0.023,0.199,3.172,0.0,below Mara's slope
P00006,C03,secondary header,sub main,200,22.2,2.15,0.0,0.0,,0.0,no flow in 2030
P00008,C03,secondary main sewer,lateral,200,49.6,0.5,0.524,0.302,0.758,11.7,below Mara's slope
P00010,C03,secondary main sewer,lateral,200,59.4,0.5,0.32,0.258,0.951,5.4,below Mara's slope
P00011,C03,secondary main sewer,lateral,200,85.7,0.85,0.223,0.276,1.125,3.0,below Mara's slope
P00012,C03,secondary main sewer,lateral,200,30.2,0.5,0.447,0.287,0.815,9.2,below Mara's slope
P00013,C03,secondary main sewer,lateral,200,41.0,0.5,0.166,0.209,1.288,1.9,below Mara's slope
P00018,C03,secondary header,sub main,200,87.6,0.5,0.526,0.303,0.757,11.8,below Mara's slope
P00020,C03,secondary main sewer,lateral,200,40.2,0.5,0.374,0.272,0.886,7.2,below Mara's slope
P00021,C03,secondary header,sub main,200,45.2,1.05,0.172,0.272,1.268,2.0,below Mara's slope
P00022,C03,secondary main sewer,lateral,200,20.7,1.6,0.063,0.224,2.019,0.3,below Mara's slope
P00024,C03,secondary main sewer,lateral,200,47.7,0.5,0.115,0.185,1.527,0.8,below Mara's slope
P00027,C03,secondary main sewer,lateral,200,49.3,0.5,0.086,0.168,1.742,0.6,below Mara's slope
P00028,C03,secondary main sewer,lateral,200,11.7,0.5,0.0,0.0,,0.0,no flow in 2030
P00029,C03,secondary main sewer,lateral,200,40.5,0.5,0.348,0.265,0.916,6.4,below Mara's slope
P00030,C03,secondary main sewer,lateral,200,101.9,0.5,0.231,0.232,1.106,3.3,below Mara's slope
P00031,C03,secondary main sewer,lateral,200,93.9,0.5,0.374,0.272,0.886,7.2,below Mara's slope
P00032,C03,secondary main sewer,lateral,200,42.7,0.5,0.551,0.307,0.741,12.9,below Mara's slope
P00033,C03,secondary header,sub main,200,77.5,0.5,0.527,0.303,0.756,11.8,below Mara's slope
P00034,C03,secondary header,sub main,200,48.8,0.5,0.18,0.214,1.241,2.1,below Mara's slope
P00035,C03,secondary header,sub main,200,51.3,0.5,0.22,0.229,1.131,2.9,below Mara's slope
P00037,C03,secondary header,sub main,200,88.3,0.5,0.172,0.211,1.268,2.0,below Mara's slope
P00038,C03,secondary header,sub main,200,36.5,0.5,0.172,0.211,1.268,2.0,below Mara's slope
P00039,C03,secondary header,sub main,200,112.5,1.7,0.057,0.221,2.103,0.2,below Mara's slope
P00040,C03,secondary main sewer,lateral,200,21.7,0.5,0.134,0.194,1.423,1.3,below Mara's slope
P00041,C03,secondary main sewer,lateral,200,74.8,0.5,0.315,0.257,0.959,5.4,below Mara's slope
P00043,C03,secondary main sewer,lateral,200,39.3,0.5,0.747,0.338,0.644,20.1,below Mara's slope
P00044,C03,secondary main sewer,lateral,200,77.4,0.5,0.108,0.181,1.568,0.7,below Mara's slope
P00046,C03,secondary main sewer,lateral,200,92.1,0.95,0.0,0.0,,0.0,no flow in 2030
P00047,C03,secondary main sewer,lateral,200,34.1,0.5,0.243,0.236,1.08,3.7,below Mara's slope
P00049,C03,secondary header,sub main,200,53.9,0.5,0.59,0.314,0.718,14.0,below Mara's slope
P00050,C03,secondary main sewer,lateral,200,56.1,0.5,0.453,0.289,0.811,9.5,below Mara's slope
P00051,C03,secondary main sewer,lateral,200,42.0,0.5,0.585,0.313,0.72,14.1,below Mara's slope
P00052,C03,secondary main sewer,lateral,200,26.3,0.5,0.243,0.236,1.08,3.7,below Mara's slope
P00053,C03,secondary main sewer,lateral,200,97.0,0.5,0.436,0.285,0.825,9.2,below Mara's slope
P00054,C03,secondary main sewer,lateral,200,78.7,0.5,1.094,0.38,0.54,34.2,below Mara's slope
P00055,C03,secondary main sewer,lateral,200,14.7,0.5,1.14,0.385,0.53,34.9,below Mara's slope
P00056,C03,secondary main sewer,lateral,200,27.6,0.5,0.132,0.193,1.432,1.3,below Mara's slope
P00057,C03,secondary main sewer,lateral,200,11.2,0.5,0.029,0.115,2.895,0.1,below Mara's slope
P00058,C03,secondary main sewer,lateral,200,62.7,0.5,0.251,0.239,1.064,3.8,below Mara's slope
P00060,C03,secondary header,sub main,200,61.1,0.5,0.623,0.319,0.7,15.2,below Mara's slope
P00061,C03,secondary header,sub main,200,81.1,0.6,0.354,0.284,0.908,6.2,below Mara's slope
P00062,C03,secondary main sewer,lateral,200,79.5,0.5,0.145,0.2,1.369,1.4,below Mara's slope
P00063,C03,secondary main sewer,lateral,200,47.8,0.5,0.244,0.237,1.078,3.6,below Mara's slope
P00064,C03,secondary main sewer,lateral,200,73.2,0.5,0.133,0.194,1.425,1.3,below Mara's slope
P00066,C05,secondary main sewer,lateral,200,73.6,0.5,0.098,0.175,1.64,0.6,below Mara's slope
P00067,C05,secondary main sewer,lateral,200,94.1,0.5,0.124,0.189,1.474,0.9,below Mara's slope
P00068,C03,secondary main sewer,lateral,200,129.3,0.5,0.276,0.246,1.019,4.5,below Mara's slope
P00069,C03,secondary main sewer,lateral,200,63.5,0.5,1.185,0.39,0.52,36.8,below Mara's slope
P00070,C03,secondary header,sub main,200,42.2,0.5,0.424,0.283,0.836,8.2,below Mara's slope
P00071,C03,secondary header,sub main,200,152.6,1.75,0.057,0.224,2.103,0.2,below Mara's slope
P00072,C03,secondary header,sub main,200,47.7,0.7,0.536,0.342,0.751,9.5,below Mara's slope
P00073,C05,secondary main sewer,lateral,200,51.3,0.5,0.187,0.217,1.22,2.3,below Mara's slope
P00075,C03,secondary header,sub main,200,36.3,0.6,0.524,0.322,0.758,9.2,below Mara's slope
P00076,C05,secondary main sewer,lateral,200,48.1,0.5,0.244,0.237,1.077,2.3,below Mara's slope
