fid,tariff,lon,lat,cl,plot_name,plot_class,USE,GUD_CAT,CONF,EVIDENCE
238,CRT Seasonal,56.516089,23.2169,-1,Additional Account Tariff,Residential-Commercial,Commercial,non_domestic,Likely,ATM bank Muscat [amenity=atm] 6m
362,CRT Time of Use,56.454874,23.221065,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
363,CRT Time of Use,56.454874,23.221065,81,CRT Time of Use,Residential-Commercial,Education,government,Likely,"UTAS Ibri Al Akhdar campus, D Building, storage (OSM + Nominatim)"
486,CRT Seasonal,56.514176,23.228757,106,Commercial,Residential-Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
728,CRT Seasonal,56.615369,23.317417,6,CRT Seasonal,Commercial,Commercial,non_domestic,Certain,"Riad Al Driz Shopping Center, Ad Dariz (OSM)"
1260,CRT Seasonal,56.476833,23.147847,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Tanaam: no POI within 80 m
1401,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1402,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1403,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1404,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1405,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1406,CRT Seasonal,56.550316,23.281995,69,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
1665,CRT Seasonal,56.516444,23.220173,-1,Additional Account Tariff,Residential-Commercial,Health,government,Likely,AL Ariaf  Pharmacy [amenity=pharmacy;healthcare=pharmacy] 29m
2000,CRT Seasonal,56.51782,23.212788,-1,CRT Seasonal,Agricultural,Education,government,Likely,? [amenity=school] 64m
2001,CRT Seasonal,56.518301,23.212689,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot,  (no POI within 80 m)"
2130,CRT Seasonal,56.548071,23.278466,71,CRT Seasonal,Residential,Commercial,non_domestic,Likely,"Araqi commercial strip, next to cluster 69 (Google)"
2137,CRT Time of Use,56.542783,23.278802,-1,CRT Time of Use,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot,  (no POI within 80 m)"
2153,CRT Seasonal,56.534175,23.272852,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Aynayn (no POI within 80 m)"
2557,CRT Time of Use,56.552052,23.286074,68,CRT Time of Use,Residential,Commercial,non_domestic,Guessing,Araqi strip (Nominatim)
2558,CRT Time of Use,56.552052,23.286074,68,CRT Time of Use,Residential,Commercial,non_domestic,Guessing,Araqi strip (Nominatim)
2559,CRT Time of Use,56.552052,23.286074,68,CRT Time of Use,Residential,Commercial,non_domestic,Guessing,Araqi strip (Nominatim)
2560,CRT Time of Use,56.552052,23.286074,68,CRT Time of Use,Residential,Commercial,non_domestic,Guessing,Araqi strip (Nominatim)
3400,CRT Seasonal,56.544673,23.278926,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Aynayn (no POI within 80 m)"
3465,CRT Time of Use,56.555965,23.261807,-1,CRT Time of Use,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Ghabbi"
4018,CRT Time of Use,56.512265,23.215782,102,Government,Agricultural,Commercial,non_domestic,Likely,"Retail building + Shell fuel, Hayy Almazra (OSM)"
4019,CRT Seasonal,56.512265,23.215782,102,Government,Agricultural,Commercial,non_domestic,Likely,"Retail building + Shell fuel, Hayy Almazra (OSM)"
4460,CRT Seasonal,56.544245,23.278734,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Aynayn (no POI within 80 m)"
4611,CRT Seasonal,56.514041,23.219172,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,AL Murtafa: no POI within 80 m
4752,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4754,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4755,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4756,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
4757,CRT Seasonal,56.513266,23.229341,106,Additional Account Tariff,Commercial,Commercial,non_domestic,Certain,"Souq street Al Murtafa: bookshop, Marjan supermarket, polyclinic (OSM + Google)"
