fid,DERIVED1,AGREE,GREEN,GREEN_IMG,VEGFRAC,HIGH
0,Unmetered,unmetered,0,0,0.201,0
1,Unmetered,unmetered,0,0,0.507,0
2,Unmetered,unmetered,0,0,0.638,0
3,Unmetered,unmetered,0,0,0.12,0
4,Residential,same,0,0,0.13,0
5,Residential,same,0,0,0.155,0
6,Unmetered,unmetered,0,0,0.591,0
7,Unmetered,unmetered,0,0,0.235,0
8,Unmetered,unmetered,0,0,0.73,0
9,Unmetered,unmetered,0,0,0.028,0
10,Unmetered,unmetered,0,0,0.539,0
11,Unmetered,unmetered,0,1,0.976,0
12,Unmetered,unmetered,0,0,0.293,0
13,Unmetered,unmetered,0,0,0.022,0
14,Unmetered,unmetered,0,0,0.024,0
15,Unmetered,unmetered,0,1,1.0,0
16,Unmetered,unmetered,0,1,1.0,0
17,Unmetered,unmetered,0,1,0.999,0
18,Unmetered,unmetered,0,0,0.502,0
19,Unmetered,unmetered,0,0,0.18,0
20,Unmetered,unmetered,0,0,0.737,0
21,Unmetered,unmetered,0,0,0.677,0
22,Unmetered,unmetered,0,0,0.54,0
23,Unmetered,unmetered,0,0,0.702,0
24,Unmetered,unmetered,0,0,0.725,0
25,Unmetered,unmetered,0,0,0.666,0
26,Unmetered,unmetered,0,0,0.972,0
27,Unmetered,unmetered,0,0,0.238,0
28,Unmetered,unmetered,0,0,0.0,0
29,Unmetered,unmetered,0,0,0.0,0
30,Unmetered,unmetered,0,0,0.53,0
31,Unmetered,unmetered,0,0,0.0,0
32,Unmetered,unmetered,0,0,0.0,0
33,Unmetered,unmetered,0,0,0.395,0
34,Unmetered,unmetered,0,0,0.007,0
35,Unmetered,unmetered,0,0,0.366,0
36,Unmetered,unmetered,0,0,0.442,0
37,Unmetered,unmetered,0,0,0.731,0
38,Unmetered,unmetered,0,0,0.831,0
39,Unmetered,unmetered,0,0,0.0,0
40,Unmetered,unmetered,0,0,0.002,0
41,Unmetered,unmetered,0,0,0.11,0
42,Unmetered,unmetered,0,0,0.008,0
43,Unmetered,unmetered,0,0,0.147,0
44,Unmetered,unmetered,0,0,0.048,0
45,Unmetered,unmetered,0,0,0.392,0
46,Unmetered,unmetered,0,0,0.054,0
47,Unmetered,unmetered,0,0,0.184,0
48,Unmetered,unmetered,0,0,0.261,0
49,Unmetered,unmetered,0,0,0.365,0
50,Unmetered,unmetered,0,0,0.155,0
51,Unmetered,unmetered,0,0,0.114,0
52,Unmetered,unmetered,0,0,0.034,0
53,Unmetered,unmetered,0,0,0.0,0
54,Unmetered,unmetered,0,0,0.286,0
55,Unmetered,unmetered,0,0,0.422,0
56,Unmetered,unmetered,0,0,0.607,0
57,Unmetered,unmetered,0,0,0.0,0
58,Unmetered,unmetered,0,0,1.0,0
59,Unmetered,unmetered,0,0,0.346,0
60,Unmetered,unmetered,0,0,0.762,0
61,Unmetered,unmetered,0,0,0.286,0
62,Unmetered,unmetered,0,0,0.781,0
63,Unmetered,unmetered,0,0,0.451,0
64,Unmetered,unmetered,0,0,0.584,0
65,Unmetered,unmetered,0,0,0.732,0
66,Unmetered,unmetered,0,0,0.76,0
67,Unmetered,unmetered,0,0,0.229,0
68,Unmetered,unmetered,0,0,0.022,0
69,Unmetered,unmetered,0,0,0.171,0
70,Unmetered,unmetered,0,0,0.008,0
71,Unmetered,unmetered,0,0,0.0,0
72,Unmetered,unmetered,0,0,0.419,0
73,Unmetered,unmetered,0,0,0.539,0
74,Unmetered,unmetered,0,0,0.018,0
75,Unmetered,unmetered,0,0,0.088,0
76,Unmetered,unmetered,0,0,0.047,0
77,Unmetered,unmetered,0,0,0.158,0
78,Unmetered,unmetered,0,0,0.002,0
79,Unmetered,unmetered,0,0,0.112,0
80,Unmetered,unmetered,0,0,0.484,0
81,Unmetered,unmetered,0,0,0.442,0
82,Unmetered,unmetered,0,0,0.644,0
83,Unmetered,unmetered,0,0,0.677,0
84,Unmetered,unmetered,0,0,0.287,0
85,Unmetered,unmetered,0,0,0.03,0
86,Unmetered,unmetered,0,0,0.009,0
87,Unmetered,unmetered,0,0,0.205,0
88,Unmetered,unmetered,0,0,0.652,0
89,Unmetered,unmetered,0,0,0.044,0
90,Unmetered,unmetered,0,0,0.0,0
91,Unmetered,unmetered,0,0,0.218,0
92,Unmetered,unmetered,0,0,0.13,0
93,Unmetered,unmetered,0,0,0.029,0
94,Unmetered,unmetered,0,0,0.012,0
95,Unmetered,unmetered,0,0,0.171,0
96,Unmetered,unmetered,0,0,0.165,0
97,Unmetered,unmetered,0,0,0.403,0
98,Unmetered,unmetered,0,0,0.19,0
99,Unmetered,unmetered,0,0,0.413,0
100,Unmetered,unmetered,0,0,0.425,0
101,Unmetered,unmetered,0,0,0.189,0
102,Unmetered,unmetered,0,0,0.134,0
103,Unmetered,unmetered,0,0,0.203,0
104,Unmetered,unmetered,0,0,0.738,0
105,Unmetered,unmetered,0,0,0.846,0
106,Unmetered,unmetered,0,0,0.482,0
107,Residential,same,0,0,0.334,0
108,Unmetered,unmetered,0,0,0.873,0
109,Unmetered,unmetered,0,0,0.552,0
110,Unmetered,unmetered,0,0,0.757,0
111,Unmetered,unmetered,0,0,0.495,0
112,Unmetered,unmetered,0,0,0.473,0
113,Unmetered,unmetered,0,0,0.06,0
114,Unmetered,unmetered,0,0,0.199,0
115,Unmetered,unmetered,0,0,0.0,0
116,Unmetered,unmetered,0,0,0.028,0
117,Unmetered,unmetered,0,0,0.298,0
118,Unmetered,unmetered,0,0,0.539,0
119,Unmetered,unmetered,0,0,0.129,0
120,Unmetered,unmetered,0,0,0.125,0
121,Unmetered,unmetered,0,0,0.165,0
122,Unmetered,unmetered,0,0,0.004,0
123,Unmetered,unmetered,0,0,0.05,0
124,Unmetered,unmetered,0,0,0.192,0
125,Unmetered,unmetered,0,0,0.154,0
126,Unmetered,unmetered,0,0,0.376,0
127,Residential,same,0,0,0.152,0
128,Residential,same,0,0,0.488,0
129,Unmetered,unmetered,0,0,0.64,0
130,Unmetered,unmetered,0,0,0.285,0
131,Unmetered,unmetered,0,0,0.311,0
132,Unmetered,unmetered,0,0,0.152,0
133,Unmetered,unmetered,0,0,0.043,0
134,Unmetered,unmetered,0,0,0.286,0
135,Unmetered,unmetered,0,0,0.201,0
136,Unmetered,unmetered,0,0,0.417,0
137,Unmetered,unmetered,0,0,0.201,0
138,Unmetered,unmetered,0,0,0.443,0
139,Unmetered,unmetered,0,0,0.235,0
140,Unmetered,unmetered,0,0,0.091,0
141,Unmetered,unmetered,0,0,0.219,0
142,Unmetered,unmetered,0,0,0.272,0
143,Residential,same,0,0,0.127,0
144,Unmetered,unmetered,0,0,0.072,0
145,Unmetered,unmetered,0,0,0.372,0
146,Unmetered,unmetered,0,0,0.023,0
147,Unmetered,unmetered,0,0,0.185,0
148,Residential,same,0,0,0.242,0
149,Unmetered,unmetered,0,0,0.669,0
150,Unmetered,unmetered,0,0,0.658,0
151,Unmetered,unmetered,0,0,0.854,0
152,Unmetered,unmetered,0,0,0.379,0
153,Unmetered,unmetered,0,0,0.0,0
154,Unmetered,unmetered,0,0,0.0,0
155,Unmetered,unmetered,0,0,0.0,0
156,Unmetered,unmetered,0,0,0.0,0
157,Unmetered,unmetered,0,0,0.104,0
158,Unmetered,unmetered,0,0,0.054,0
159,Unmetered,unmetered,0,0,0.0,0
160,Unmetered,unmetered,0,0,0.008,0
161,Unmetered,unmetered,0,0,0.0,0
162,Unmetered,unmetered,0,0,0.0,0
163,Unmetered,unmetered,0,0,0.054,0
164,Unmetered,unmetered,0,0,0.151,0
165,Unmetered,unmetered,0,0,0.0,0
166,Unmetered,unmetered,0,0,0.005,0
167,Unmetered,unmetered,0,0,0.335,0
168,Unmetered,unmetered,0,0,0.07,0
169,Unmetered,unmetered,0,0,0.0,0
170,Unmetered,unmetered,0,0,0.0,0
171,Unmetered,unmetered,0,0,0.036,0
172,Unmetered,unmetered,0,0,0.006,0
173,Unmetered,unmetered,0,0,0.231,0
174,Unmetered,unmetered,0,0,0.0,0
175,Unmetered,unmetered,0,0,0.006,0
176,Unmetered,unmetered,0,0,0.0,0
177,Unmetered,unmetered,0,0,0.0,0
178,Unmetered,unmetered,0,0,0.007,0
179,Unmetered,unmetered,0,0,0.0,0
180,Unmetered,unmetered,0,0,0.004,0
181,Unmetered,unmetered,0,0,0.0,0
182,Unmetered,unmetered,0,0,0.0,0
183,Unmetered,unmetered,0,0,0.0,0
184,Unmetered,unmetered,0,0,0.082,0
185,Unmetered,unmetered,0,0,0.012,0
186,Unmetered,unmetered,0,0,0.032,0
187,Unmetered,unmetered,0,0,0.092,0
188,Unmetered,unmetered,0,0,0.051,0
189,Unmetered,unmetered,0,0,0.0,0
190,Unmetered,unmetered,0,0,0.0,0
191,Unmetered,unmetered,0,0,0.0,0
192,Unmetered,unmetered,0,0,0.0,0
193,Unmetered,unmetered,0,0,0.0,0
194,Unmetered,unmetered,0,0,0.014,0
195,Unmetered,unmetered,0,0,0.062,0
196,Unmetered,unmetered,0,0,0.0,0
197,Unmetered,unmetered,0,0,0.022,0
198,Unmetered,unmetered,0,0,0.09,0
199,Unmetered,unmetered,0,0,0.181,0
200,Unmetered,unmetered,0,0,0.096,0
201,Unmetered,unmetered,0,0,0.0,0
202,Unmetered,unmetered,0,0,0.012,0
203,Unmetered,unmetered,0,0,0.149,0
204,Unmetered,unmetered,0,0,0.09,0
205,Unmetered,unmetered,0,0,0.084,0
206,Unmetered,unmetered,0,0,0.339,0
207,Unmetered,unmetered,0,0,0.0,0
208,Unmetered,unmetered,0,0,0.315,0
209,Unmetered,unmetered,0,0,0.171,0
210,Unmetered,unmetered,0,0,0.002,0
211,Unmetered,unmetered,0,0,0.635,0
212,Unmetered,unmetered,0,0,0.122,0
213,Unmetered,unmetered,0,0,0.592,0
214,Unmetered,unmetered,0,0,0.821,0
215,Unmetered,unmetered,0,0,0.908,0
216,Unmetered,unmetered,0,0,0.444,0
217,Unmetered,unmetered,0,0,0.323,0
218,Unmetered,unmetered,0,0,0.0,0
219,Unmetered,unmetered,0,0,0.042,0
220,Unmetered,unmetered,0,0,0.096,0
221,Unmetered,unmetered,0,0,0.671,0
222,Unmetered,unmetered,0,0,0.01,0
223,Unmetered,unmetered,0,0,0.11,0
224,Unmetered,unmetered,0,0,0.044,0
225,Unmetered,unmetered,0,0,0.0,0
226,Unmetered,unmetered,0,0,0.135,0
227,Unmetered,unmetered,0,0,0.3,0
228,Unmetered,unmetered,0,0,0.079,0
229,Unmetered,unmetered,0,0,0.281,0
230,Unmetered,unmetered,0,0,0.048,0
231,Unmetered,unmetered,0,0,0.323,0
232,Unmetered,unmetered,0,0,0.179,0
233,Unmetered,unmetered,0,0,0.166,0
234,Unmetered,unmetered,0,0,0.102,0
235,Unmetered,unmetered,0,0,0.139,0
236,Unmetered,unmetered,0,0,0.215,0
237,Unmetered,unmetered,0,0,0.398,0
238,Unmetered,unmetered,0,0,0.042,0
239,Unmetered,unmetered,0,0,0.0,0
240,Unmetered,unmetered,0,0,0.0,0
241,Unmetered,unmetered,0,0,0.03,0
242,Unmetered,unmetered,0,0,0.636,0
243,Unmetered,unmetered,0,0,0.69,0
244,Unmetered,unmetered,0,0,0.056,0
245,Unmetered,unmetered,0,0,0.311,0
246,Unmetered,unmetered,0,0,0.332,0
247,Unmetered,unmetered,0,0,0.916,0
248,Unmetered,unmetered,0,0,0.06,0
249,Unmetered,unmetered,0,0,0.695,0
250,Unmetered,unmetered,0,0,1.0,0
251,Unmetered,unmetered,0,0,0.107,0
252,Unmetered,unmetered,0,0,0.06,0
253,Unmetered,unmetered,0,0,0.379,0
254,Unmetered,unmetered,0,0,0.569,0
255,Unmetered,unmetered,0,0,0.25,0
256,Unmetered,unmetered,0,0,0.305,0
257,Unmetered,unmetered,0,0,0.2,0
258,Unmetered,unmetered,0,0,0.435,0
259,Unmetered,unmetered,0,0,0.283,0
260,Unmetered,unmetered,0,0,0.375,0
261,Unmetered,unmetered,0,0,0.108,0
262,Unmetered,unmetered,0,0,0.265,0
263,Unmetered,unmetered,0,0,0.446,0
264,Unmetered,unmetered,0,0,0.811,0
265,Unmetered,unmetered,0,0,0.04,0
266,Unmetered,unmetered,0,0,0.167,0
267,Unmetered,unmetered,0,0,0.342,0
268,Unmetered,unmetered,0,0,0.345,0
269,Unmetered,unmetered,0,0,0.088,0
270,Unmetered,unmetered,0,0,0.447,0
271,Unmetered,unmetered,0,0,0.248,0
272,Unmetered,unmetered,0,0,0.405,0
273,Unmetered,unmetered,0,0,0.372,0
274,Unmetered,unmetered,0,0,0.419,0
275,Unmetered,unmetered,0,0,0.559,0
276,Unmetered,unmetered,0,0,0.493,0
277,Unmetered,unmetered,0,0,0.301,0
278,Unmetered,unmetered,0,0,0.122,0
279,Unmetered,unmetered,0,0,0.013,0
280,Unmetered,unmetered,0,0,0.086,0
281,Unmetered,unmetered,0,0,0.006,0
282,Unmetered,unmetered,0,0,0.0,0
283,Unmetered,unmetered,0,0,0.332,0
284,Unmetered,unmetered,0,0,0.003,0
285,Unmetered,unmetered,0,0,0.0,0
286,Unmetered,unmetered,0,0,0.424,0
287,Unmetered,unmetered,0,0,0.028,0
288,Unmetered,unmetered,0,0,0.024,0
289,Unmetered,unmetered,0,0,0.119,0
290,Unmetered,unmetered,0,0,0.0,0
291,Unmetered,unmetered,0,0,0.149,0
292,Unmetered,unmetered,0,0,0.134,0
293,Unmetered,unmetered,0,0,0.0,0
294,Unmetered,unmetered,0,0,0.0,0
295,Unmetered,unmetered,0,0,0.0,0
296,Unmetered,unmetered,0,0,0.046,0
297,Unmetered,unmetered,0,0,0.319,0
298,Unmetered,unmetered,0,0,0.228,0
299,Unmetered,unmetered,0,0,0.371,0
300,Unmetered,unmetered,0,0,0.527,0
301,Unmetered,unmetered,0,0,0.218,0
302,Unmetered,unmetered,0,0,0.02,0
303,Unmetered,unmetered,0,0,0.002,0
304,Unmetered,unmetered,0,0,0.0,0
305,Unmetered,unmetered,0,0,0.01,0
306,Unmetered,unmetered,0,0,0.287,0
307,Unmetered,unmetered,0,0,0.488,0
308,Unmetered,unmetered,0,0,0.861,0
309,Unmetered,unmetered,0,0,0.779,0
310,Unmetered,unmetered,0,0,0.56,0
311,Unmetered,unmetered,0,0,0.002,0
312,Unmetered,unmetered,0,0,0.0,0
313,Unmetered,unmetered,0,0,0.002,0
314,Unmetered,unmetered,0,0,0.0,0
315,Unmetered,unmetered,0,0,0.064,0
316,Unmetered,unmetered,0,0,0.014,0
317,Unmetered,unmetered,0,0,0.052,0
318,Unmetered,unmetered,0,0,0.052,0
319,Unmetered,unmetered,0,0,0.064,0
320,Unmetered,unmetered,0,0,0.003,0
321,Unmetered,unmetered,0,0,0.013,0
322,Unmetered,unmetered,0,0,0.0,0
323,Unmetered,unmetered,0,0,0.0,0
324,Unmetered,unmetered,0,0,0.0,0
325,Unmetered,unmetered,0,0,0.0,0
326,Unmetered,unmetered,0,0,0.0,0
327,Unmetered,unmetered,0,0,0.024,0
328,Unmetered,unmetered,0,0,0.012,0
329,Unmetered,unmetered,0,0,0.078,0
330,Unmetered,unmetered,0,0,0.0,0
331,Unmetered,unmetered,0,0,0.0,0
332,Unmetered,unmetered,0,0,0.014,0
333,Unmetered,unmetered,0,0,0.03,0
334,Unmetered,unmetered,0,0,0.09,0
335,Unmetered,unmetered,0,0,0.0,0
336,Unmetered,unmetered,0,0,0.0,0
337,Unmetered,unmetered,0,0,0.0,0
338,Unmetered,unmetered,0,0,0.0,0
339,Unmetered,unmetered,0,0,0.002,0
340,Unmetered,unmetered,0,0,0.0,0
341,Unmetered,unmetered,0,0,0.0,0
342,Unmetered,unmetered,0,0,0.046,0
343,Unmetered,unmetered,0,0,0.074,0
344,Unmetered,unmetered,0,0,0.012,0
345,Unmetered,unmetered,0,0,0.028,0
346,Unmetered,unmetered,0,0,0.0,0
347,Unmetered,unmetered,0,0,0.082,0
348,Unmetered,unmetered,0,0,0.0,0
349,Unmetered,unmetered,0,0,0.0,0
350,Unmetered,unmetered,0,0,0.0,0
351,Unmetered,unmetered,0,0,0.032,0
352,Unmetered,unmetered,0,0,0.0,0
353,Unmetered,unmetered,0,0,0.0,0
354,Unmetered,unmetered,0,0,0.0,0
355,Unmetered,unmetered,0,0,0.056,0
356,Unmetered,unmetered,0,0,0.022,0
357,Unmetered,unmetered,0,0,0.0,0
358,Unmetered,unmetered,0,0,0.0,0
359,Unmetered,unmetered,0,0,0.116,0
360,Unmetered,unmetered,0,0,0.024,0
361,Unmetered,unmetered,0,0,0.012,0
362,Unmetered,unmetered,0,0,0.0,0
363,Unmetered,unmetered,0,0,0.013,0
364,Unmetered,unmetered,0,0,0.876,0
365,Unmetered,unmetered,0,0,0.479,0
366,Unmetered,unmetered,0,0,0.874,0
367,Unmetered,unmetered,0,0,0.838,0
368,Unmetered,unmetered,0,0,0.824,0
369,Unmetered,unmetered,0,0,0.293,0
370,Unmetered,unmetered,0,0,0.521,0
371,Unmetered,unmetered,0,0,0.988,0
372,Unmetered,unmetered,0,0,0.587,0
373,Unmetered,unmetered,0,0,0.651,0
374,Unmetered,unmetered,0,0,0.379,0
375,Unmetered,unmetered,0,0,0.533,0
376,Unmetered,unmetered,0,0,0.597,0
377,Unmetered,unmetered,0,0,0.764,0
378,Unmetered,unmetered,0,0,0.76,0
379,Unmetered,unmetered,0,0,0.747,0
380,Unmetered,unmetered,0,0,0.319,0
381,Unmetered,unmetered,0,0,0.297,0
382,Unmetered,unmetered,0,0,0.83,0
383,Unmetered,unmetered,0,0,0.745,0
384,Unmetered,unmetered,0,0,0.677,0
385,Unmetered,unmetered,0,0,0.192,0
386,Unmetered,unmetered,0,0,0.323,0
387,Unmetered,unmetered,0,0,0.216,0
388,Unmetered,unmetered,0,0,0.253,0
389,Unmetered,unmetered,0,0,0.862,0
390,Unmetered,unmetered,0,0,0.487,0
391,Unmetered,unmetered,0,0,0.663,0
392,Unmetered,unmetered,0,0,0.307,0
393,Unmetered,unmetered,0,0,0.283,0
394,Unmetered,unmetered,0,0,0.537,0
395,Unmetered,unmetered,0,0,0.785,0
396,Unmetered,unmetered,0,0,0.918,0
397,Unmetered,unmetered,0,0,0.624,0
398,Unmetered,unmetered,0,0,0.108,0
399,Unmetered,unmetered,0,0,0.482,0
400,Unmetered,unmetered,0,0,0.351,0
401,Unmetered,unmetered,0,0,0.679,0
402,Unmetered,unmetered,0,0,0.442,0
403,Unmetered,unmetered,0,0,0.787,0
404,Unmetered,unmetered,0,0,0.361,0
405,Unmetered,unmetered,0,0,0.097,0
406,Unmetered,unmetered,0,0,0.274,0
407,Unmetered,unmetered,0,0,0.006,0
408,Unmetered,unmetered,0,0,0.066,0
409,Unmetered,unmetered,0,0,0.0,0
410,Unmetered,unmetered,0,0,0.004,0
411,Unmetered,unmetered,0,0,0.0,0
412,Unmetered,unmetered,0,0,0.008,0
413,Unmetered,unmetered,0,0,0.2,0
414,Unmetered,unmetered,0,0,0.118,0
415,Unmetered,unmetered,0,0,0.11,0
416,Unmetered,unmetered,0,0,0.148,0
417,Unmetered,unmetered,0,0,0.034,0
418,Unmetered,unmetered,0,0,0.327,0
419,Unmetered,unmetered,0,0,0.2,0
420,Unmetered,unmetered,0,0,0.124,0
421,Unmetered,unmetered,0,0,0.13,0
422,Unmetered,unmetered,0,0,0.138,0
423,Unmetered,unmetered,0,0,0.098,0
424,Unmetered,unmetered,0,0,0.124,0
425,Unmetered,unmetered,0,0,0.0,0
426,Unmetered,unmetered,0,0,0.0,0
427,Unmetered,unmetered,0,0,0.174,0
428,Unmetered,unmetered,0,0,0.094,0
429,Unmetered,unmetered,0,0,0.194,0
430,Unmetered,unmetered,0,0,0.152,0
431,Unmetered,unmetered,0,0,0.094,0
432,Unmetered,unmetered,0,0,0.12,0
433,Unmetered,unmetered,0,0,0.018,0
434,Unmetered,unmetered,0,0,0.0,0
435,Unmetered,unmetered,0,0,0.0,0
436,Unmetered,unmetered,0,0,0.0,0
437,Unmetered,unmetered,0,0,0.002,0
438,Unmetered,unmetered,0,0,0.044,0
439,Unmetered,unmetered,0,0,0.0,0
440,Unmetered,unmetered,0,0,0.0,0
441,Unmetered,unmetered,0,0,0.074,0
442,Unmetered,unmetered,0,0,0.04,0
443,Unmetered,unmetered,0,0,0.016,0
444,Unmetered,unmetered,0,0,0.052,0
445,Unmetered,unmetered,0,0,0.054,0
446,Unmetered,unmetered,0,0,0.0,0
447,Unmetered,unmetered,0,0,0.044,0
448,Unmetered,unmetered,0,0,0.126,0
449,Unmetered,unmetered,0,0,1.0,0
450,Unmetered,unmetered,0,1,0.555,0
451,Unmetered,unmetered,0,0,0.338,0
452,Unmetered,unmetered,0,0,0.087,0
453,Unmetered,unmetered,0,0,0.545,0
454,Unmetered,unmetered,0,0,0.009,0
455,Unmetered,unmetered,0,0,0.291,0
456,Unmetered,unmetered,0,0,0.0,0
457,Unmetered,unmetered,0,0,0.05,0
458,Unmetered,unmetered,0,0,0.004,0
459,Unmetered,unmetered,0,0,0.0,0
460,Unmetered,unmetered,0,0,0.0,0
461,Unmetered,unmetered,0,0,0.018,0
462,Unmetered,unmetered,0,0,0.0,0
463,Unmetered,unmetered,0,0,0.392,0
464,Unmetered,unmetered,0,0,0.052,0
465,Unmetered,unmetered,0,0,0.203,0
466,Unmetered,unmetered,0,0,0.294,0
467,Unmetered,unmetered,0,0,0.0,0
468,Unmetered,unmetered,0,0,0.235,0
469,Unmetered,unmetered,0,0,0.114,0
470,Unmetered,unmetered,0,0,0.065,0
471,Unmetered,unmetered,0,0,0.525,0
472,Unmetered,unmetered,0,0,0.278,0
473,Unmetered,unmetered,0,0,0.251,0
474,Unmetered,unmetered,0,0,0.237,0
475,Unmetered,unmetered,0,0,0.74,0
476,Unmetered,unmetered,0,0,0.027,0
477,Unmetered,unmetered,0,0,0.359,0
478,Unmetered,unmetered,0,0,0.0,0
479,Unmetered,unmetered,0,0,0.23,0
480,Unmetered,unmetered,0,0,0.74,0
481,Unmetered,unmetered,0,1,0.908,0
482,Unmetered,unmetered,0,0,0.74,0
483,Unmetered,unmetered,0,1,0.92,0
484,Unmetered,unmetered,0,0,0.842,0
485,Unmetered,unmetered,0,0,0.706,0
486,Unmetered,unmetered,0,0,0.83,0
487,Unmetered,unmetered,0,0,0.549,0
488,Unmetered,unmetered,0,0,0.786,0
489,Unmetered,unmetered,0,0,0.709,0
490,Unmetered,unmetered,0,1,0.963,0
491,Unmetered,unmetered,0,1,0.889,0
492,Unmetered,unmetered,0,0,0.822,0
493,Unmetered,unmetered,0,0,0.822,0
494,Unmetered,unmetered,0,0,0.789,0
495,Unmetered,unmetered,0,1,0.819,0
496,Unmetered,unmetered,0,0,0.74,0
497,Unmetered,unmetered,0,0,0.629,0
498,Unmetered,unmetered,0,0,0.565,0
499,Unmetered,unmetered,0,0,0.414,0
500,Unmetered,unmetered,0,0,0.483,0
501,Unmetered,unmetered,0,0,0.388,0
502,Unmetered,unmetered,0,0,0.318,0
503,Unmetered,unmetered,0,0,0.273,0
504,Unmetered,unmetered,0,0,0.596,0
505,Unmetered,unmetered,0,1,0.729,0
506,Residential,same,0,1,0.768,0
507,Unmetered,unmetered,0,0,0.472,0
508,Unmetered,unmetered,0,0,0.933,0
509,Unmetered,unmetered,0,0,0.663,0
510,Unmetered,unmetered,0,0,0.97,0
511,Unmetered,unmetered,0,0,0.505,0
512,Unmetered,unmetered,0,0,0.887,0
513,Unmetered,unmetered,0,0,1.0,0
514,Unmetered,unmetered,0,0,0.994,0
515,Unmetered,unmetered,0,0,0.997,0
516,Unmetered,unmetered,0,0,0.987,0
517,Unmetered,unmetered,0,0,0.994,0
518,Unmetered,unmetered,0,0,1.0,0
519,Unmetered,unmetered,0,0,1.0,0
520,Unmetered,unmetered,0,0,1.0,0
521,Unmetered,unmetered,0,0,1.0,0
522,Unmetered,unmetered,0,0,0.997,0
523,Unmetered,unmetered,0,0,1.0,0
524,Unmetered,unmetered,0,0,1.0,0
525,Unmetered,unmetered,0,0,1.0,0
526,Unmetered,unmetered,0,0,1.0,0
527,Unmetered,unmetered,0,0,1.0,0
528,Unmetered,unmetered,0,0,1.0,0
529,Unmetered,unmetered,0,0,1.0,0
530,Unmetered,unmetered,0,0,0.995,0
531,Residential,same,0,0,0.671,0
532,Unmetered,unmetered,0,0,0.967,0
533,Unmetered,unmetered,0,0,1.0,0
534,Unmetered,unmetered,0,0,0.984,0
535,Unmetered,unmetered,0,0,0.886,0
536,Unmetered,unmetered,0,0,1.0,0
537,Unmetered,unmetered,0,0,0.998,0
538,Unmetered,unmetered,0,0,0.998,0
539,Unmetered,unmetered,0,0,1.0,0
540,Unmetered,unmetered,0,0,0.963,0
541,Residential,same,0,0,0.925,0
542,Unmetered,unmetered,0,0,1.0,0
543,Unmetered,unmetered,0,0,1.0,0
544,Unmetered,unmetered,0,0,1.0,0
545,Unmetered,unmetered,0,0,0.992,0
546,Unmetered,unmetered,0,0,1.0,0
547,Unmetered,unmetered,0,0,1.0,0
548,Unmetered,unmetered,0,0,1.0,0
549,Unmetered,unmetered,0,0,1.0,0
550,Unmetered,unmetered,0,0,0.97,0
551,Unmetered,unmetered,0,0,0.782,0
552,Residential,same,0,0,0.668,0
553,Unmetered,unmetered,0,0,1.0,0
554,Unmetered,unmetered,0,0,1.0,0
555,Unmetered,unmetered,0,0,1.0,0
556,Unmetered,unmetered,0,0,1.0,0
557,Residential,same,0,0,0.591,0
558,Unmetered,unmetered,0,0,0.973,0
559,Unmetered,unmetered,0,0,0.95,0
560,Unmetered,unmetered,0,0,0.995,0
561,Unmetered,unmetered,0,0,0.585,0
562,Unmetered,unmetered,0,0,0.565,0
563,Unmetered,unmetered,0,0,0.944,0
564,Unmetered,unmetered,0,0,1.0,0
565,Unmetered,unmetered,0,0,1.0,0
566,Unmetered,unmetered,0,0,0.435,0
567,Unmetered,unmetered,0,0,0.543,0
568,Unmetered,unmetered,0,0,0.634,0
569,Unmetered,unmetered,0,0,0.535,0
570,Unmetered,unmetered,0,0,0.037,0
571,Unmetered,unmetered,0,0,0.058,0
572,Unmetered,unmetered,0,0,0.054,0
573,Unmetered,unmetered,0,0,0.221,0
574,Residential,same,0,0,0.271,0
575,Unmetered,unmetered,0,0,0.011,0
576,Unmetered,unmetered,0,0,0.0,0
577,Unmetered,unmetered,0,0,0.011,0
578,Unmetered,unmetered,0,0,0.243,0
579,Unmetered,unmetered,0,0,0.238,0
580,Unmetered,unmetered,0,0,0.054,0
581,Unmetered,unmetered,0,0,0.139,0
582,Unmetered,unmetered,0,0,0.361,0
583,Unmetered,unmetered,0,0,0.104,0
584,Unmetered,unmetered,0,0,0.149,0
585,Unmetered,unmetered,0,0,0.094,0
586,Unmetered,unmetered,0,0,0.016,0
587,Unmetered,unmetered,0,0,0.058,0
588,Unmetered,unmetered,0,0,0.0,0
