SETTLE,POP_TODAY,OR_RAW,OR_S,SMALL,DOM_PLOTS_BUILT,PPP_RAW,PROPS_PER_BUILT_PLOT,HOME_SHARE_RAW,HOME_SHARE,EMPTY_PLOTS,NDOM_METERS,GOV_METERS,FREE_METERS,FUT_CAP_PLOTS,SPREAD_PLOTS,SPREAD_W_SUM,FUT_CAP_PROPS,FUT_CAP_POP
AD DARIZ,11852.0,4.858,4.858,0,1567,1.2,1.2,0.898,0.898,4888,820,82,0,3219,3923,2529906.8,3469.0,16852.0
AD DIBAYSHI,2724.0,3.54,4.0,0,457,1.162,1.162,0.903,0.903,2430,298,17,0,1887,2162,1494216.9,1980.0,7920.0
AL AKHEEDAR,480.0,1.649,4.0,1,25,2.12,1.0,0.533,0.9,120,69,6,0,45,89,60929.3,40.0,160.0
AL ARAQI,10698.0,4.337,4.337,0,1282,1.317,1.317,0.841,0.841,3360,1018,96,0,2463,2976,1843670.2,2728.0,11831.0
AL AYNAYN,4553.0,5.123,5.123,0,560,1.136,1.136,0.941,0.941,1780,204,26,0,1362,1597,930494.2,1456.0,7459.0
AL GHUBAYRAH,644.0,3.922,4.0,1,102,1.118,1.0,0.842,0.9,1448,105,4,0,1094,1312,774392.4,985.0,3940.0
AL JAHLI,1376.0,1.205,4.0,1,112,2.161,1.0,0.779,0.9,1235,143,87,0,1023,1136,791483.0,921.0,3684.0
AL JIBAYYAH,2684.0,5.125,5.125,0,291,1.258,1.258,0.892,0.892,2784,96,20,0,1966,2366,1403088.9,2206.0,11306.0
AL MAKHTIBYAH,364.0,1.339,4.0,1,62,1.145,1.0,0.902,0.9,1523,115,4,0,1192,1339,836302.3,1073.0,4292.0
AL QALI,224.0,3.408,4.0,1,20,2.2,1.0,0.923,0.9,220,5,22,0,157,182,127172.9,141.0,564.0
AL QURAYN,588.0,3.731,4.0,1,119,1.143,1.0,0.931,0.9,2051,14,7,0,1830,1966,1403049.6,1647.0,6588.0
AL WAHRAH,3351.0,4.68,4.68,0,420,1.217,1.217,0.909,0.909,2000,132,23,0,1373,1650,1048539.0,1519.0,7109.0
ASH SHIAB,44.0,4.269,4.0,1,10,1.1,1.0,0.874,0.9,65,0,1,0,13,55,15428.4,12.0,48.0
AT TAYYIB,3349.0,4.019,4.019,0,623,1.09,1.09,0.916,0.916,10012,1214,21,0,8640,9456,5688274.8,8627.0,34672.0
BAT,2558.0,6.117,6.117,0,239,1.172,1.172,0.876,0.876,879,51,26,0,355,618,286854.5,364.0,2227.0
HIJAR,1408.0,2.935,4.0,0,193,1.694,1.694,0.902,0.902,375,63,4,0,211,313,173238.3,322.0,1288.0
IBRI,67094.0,6.072,6.072,0,5853,1.33,1.33,0.867,0.867,14203,4747,461,0,10469,12901,7907073.7,12072.0,73301.0
MIAYRID,16.0,8.493,4.0,1,2,1.301,1.0,0.874,0.9,246,4,2,0,171,205,110723.4,154.0,616.0
SATWAH,108.0,9.732,4.0,1,13,1.231,1.0,0.874,0.9,181,5,0,0,79,140,75847.6,71.0,284.0
SAYH AL MASARRAT,1828.0,1.019,4.0,1,133,2.519,1.0,0.923,0.9,1745,128,99,0,1384,1577,899946.7,1246.0,4984.0
SHALASHIL,152.0,3.418,4.0,1,27,1.111,1.0,0.909,0.9,3686,2,1,0,3250,3561,2093381.4,2925.0,11700.0
SUWAYDA AL MA,1559.0,5.178,5.178,0,119,1.597,1.597,0.822,0.822,1593,34,13,0,937,1256,720380.7,1230.0,6369.0
TANAM,2116.0,5.251,5.251,0,196,1.24,1.24,0.669,0.669,2045,402,32,0,1556,1807,1196728.2,1291.0,6779.0
USAYBUQ,84.0,4.33,4.0,1,12,1.25,1.0,0.874,0.9,60,0,1,0,39,52,35435.2,35.0,140.0
WADI AL MANKAS,32.0,6.494,4.0,1,6,1.301,1.0,0.874,0.9,1580,0,0,0,1394,1532,875213.3,1255.0,5020.0
