SETTLE,properties,workbook_2024,OR_raw,OR_used,rule,people_used,delta_vs_workbook
IBRI,11052,67105.5,6.07,6.07,derived,67106.0,0.0
AD DARIZ,2439,11849.7,4.86,4.86,derived,11850.0,-0.0
AL ARAQI,2466,10695.7,4.34,4.34,derived,10696.0,0.0
AL AYNAYN,889,4554.0,5.12,5.12,derived,4554.0,-0.0
AL WAHRAH,716,3351.1,4.68,4.68,derived,3351.0,0.0
AT TAYYIB,833,3348.1,4.02,4.02,derived,3348.0,-0.0
AL JIBAYYAH,524,2685.7,5.13,5.13,derived,2686.0,0.0
BAT,418,2556.8,6.12,6.12,derived,2557.0,0.0
AD DIBAYSHI,681,2410.9,3.54,4.0,floor 4.0,2724.0,313.0
TANAM,403,2116.2,5.25,5.25,derived,2116.0,-0.0
SUWAYDA AL MA,301,1558.6,5.18,5.18,derived,1559.0,-0.0
HIJAR,352,1033.1,2.93,4.0,floor 4.0,1408.0,375.0
AL GHUBAYRAH,161,631.4,3.92,4.0,under 1000 people: 4.0,644.0,13.0
AL QURAYN,147,548.5,3.73,4.0,under 1000 people: 4.0,588.0,39.0
SAYH AL MASARRAT,457,465.6,1.02,4.0,under 1000 people: 4.0,1828.0,1362.0
AL JAHLI,344,414.6,1.21,4.0,under 1000 people: 4.0,1376.0,961.0
SATWAH,27,262.8,9.73,4.0,under 1000 people: 4.0,108.0,-155.0
AL AKHEEDAR,120,197.8,1.65,4.0,under 1000 people: 4.0,480.0,282.0
AL QALI,56,190.8,3.41,4.0,under 1000 people: 4.0,224.0,33.0
SHALASHIL,38,129.9,3.42,4.0,under 1000 people: 4.0,152.0,22.0
AL MAKHTIBYAH,91,121.9,1.34,4.0,under 1000 people: 4.0,364.0,242.0
USAYBUQ,21,90.9,4.33,4.0,under 1000 people: 4.0,84.0,-7.0
WADI AL MANKAS,8,52.0,6.49,4.0,under 1000 people: 4.0,32.0,-20.0
ASH SHIAB,11,47.0,4.27,4.0,under 1000 people: 4.0,44.0,-3.0
MIAYRID,4,34.0,8.49,4.0,under 1000 people: 4.0,16.0,-18.0
