PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P00001,C43,secondary header,sub main,200,372.4,0.9,0.0,0.0,,0.0,no flow in 2030
P00002,C43,secondary main sewer,lateral,200,163.7,0.5,0.0,0.0,,0.0,no flow in 2030
P00003,C43,secondary main sewer,lateral,200,163.7,0.5,0.0,0.0,,0.0,no flow in 2030
P00004,C43,secondary header,sub main,200,525.7,0.5,0.013,0.087,4.156,0.0,below Mara's slope
P00005,C43,secondary header,sub main,200,228.6,0.75,0.049,0.159,2.265,0.3,below Mara's slope
P00006,C43,secondary main sewer,lateral,200,172.3,0.5,0.044,0.133,2.387,0.2,below Mara's slope
P00007,C43,secondary main sewer,lateral,200,68.9,0.5,0.018,0.097,3.61,0.0,below Mara's slope
P00008,C43,secondary header,sub main,200,90.4,0.5,0.074,0.159,1.872,0.6,below Mara's slope
P00009,C43,secondary header,sub main,200,99.0,0.5,0.043,0.132,2.41,0.2,below Mara's slope
P00010,C43,secondary header,sub main,200,86.7,0.5,0.079,0.163,1.814,0.6,below Mara's slope
P00011,C43,secondary header,sub main,200,86.4,0.5,0.094,0.173,1.67,1.0,below Mara's slope
P00012,C43,secondary header,sub main,200,82.6,0.6,0.084,0.177,1.763,0.7,below Mara's slope
P00013,C43,secondary header,sub main,200,83.1,0.5,0.105,0.179,1.59,1.2,below Mara's slope
P00014,C43,secondary main sewer,lateral,200,84.3,0.5,0.1,0.176,1.626,1.1,below Mara's slope
P00015,C43,secondary header,sub main,200,87.1,1.4,0.089,0.241,1.719,0.8,below Mara's slope
P00016,C43,secondary header,sub main,200,165.2,0.5,0.178,0.214,1.246,3.0,below Mara's slope
P00017,C43,secondary main sewer,lateral,200,167.2,0.5,0.091,0.171,1.697,0.9,below Mara's slope
P00018,C43,secondary main sewer,lateral,200,29.0,0.5,0.018,0.097,3.612,0.0,below Mara's slope
P00019,C43,secondary header,sub main,200,699.8,0.95,0.025,0.135,3.11,0.1,below Mara's slope
P00020,C43,secondary header,sub main,200,197.4,0.5,0.214,0.227,1.147,4.0,below Mara's slope
P00021,C72,secondary main sewer,lateral,200,25.8,0.5,0.018,0.097,3.612,0.0,below Mara's slope
P00022,C43,secondary main sewer,lateral,200,152.0,0.5,0.081,0.164,1.794,0.8,below Mara's slope
P00023,C110,secondary main sewer,lateral,200,49.0,1.65,0.018,0.145,3.62,0.0,below Mara's slope
P00024,C72,secondary header,sub main,200,82.8,0.85,0.044,0.161,2.364,0.2,below Mara's slope
P00025,C72,secondary main sewer,lateral,200,105.0,0.7,0.073,0.178,1.878,0.7,below Mara's slope
P00026,C72,secondary header,sub main,200,90.4,0.95,0.041,0.162,2.465,0.2,below Mara's slope
P00027,C72,secondary header,sub main,200,84.4,0.5,0.068,0.155,1.939,0.5,below Mara's slope
P00028,C72,secondary header,sub main,200,81.3,0.75,0.09,0.196,1.704,0.9,below Mara's slope
P00029,C72,secondary header,sub main,200,83.2,1.05,0.095,0.223,1.666,1.0,below Mara's slope
P00030,C72,secondary header,sub main,200,123.6,0.5,0.084,0.166,1.767,0.7,below Mara's slope
P00031,C72,secondary header,sub main,200,108.8,0.5,0.087,0.168,1.736,0.8,below Mara's slope
P00032,C72,secondary header,sub main,200,89.1,0.8,0.099,0.207,1.632,1.1,below Mara's slope
P00033,C72,secondary header,sub main,200,118.4,0.5,0.09,0.171,1.704,0.8,below Mara's slope
P00034,C24,secondary header,sub main,200,376.6,0.5,0.045,0.134,2.359,0.1,below Mara's slope
P00035,C24,secondary main sewer,lateral,200,94.1,0.5,0.095,0.173,1.668,0.6,below Mara's slope
P00036,C24,secondary header,sub main,200,737.7,0.5,0.104,0.179,1.596,0.7,below Mara's slope
P00037,C72,secondary header,sub main,200,144.0,0.5,0.144,0.199,1.373,2.0,below Mara's slope
P00038,C72,secondary main sewer,lateral,200,81.3,0.5,0.048,0.138,2.282,0.3,below Mara's slope
P00039,C24,secondary header,sub main,200,1400.1,0.6,0.0,0.0,,0.0,no flow in 2030
P00040,C24,secondary header,sub main,200,149.2,0.5,0.116,0.185,1.519,0.8,below Mara's slope
P00041,C24,secondary header,sub main,200,114.4,0.5,0.118,0.187,1.506,0.9,below Mara's slope
P00042,C24,secondary header,sub main,200,293.4,0.5,0.12,0.187,1.497,0.9,below Mara's slope
P00043,C24,secondary header,sub main,200,74.6,0.5,0.12,0.187,1.497,0.9,below Mara's slope
P00044,C72,secondary header,sub main,200,82.7,0.5,0.168,0.21,1.28,2.7,below Mara's slope
P00045,C72,secondary main sewer,lateral,200,87.4,0.5,0.092,0.171,1.694,1.0,below Mara's slope
P00046,C72,secondary main sewer,lateral,200,15.0,0.5,0.008,0.071,5.337,0.0,below Mara's slope
P00047,C24,secondary header,sub main,200,825.7,0.5,0.12,0.187,1.497,0.9,below Mara's slope
P00048,C72,secondary header,sub main,200,85.0,0.5,0.171,0.211,1.27,2.7,below Mara's slope
P00049,C72,secondary main sewer,lateral,200,122.8,0.5,0.122,0.189,1.482,1.6,below Mara's slope
P00050,C72,secondary header,sub main,200,131.3,0.55,0.226,0.239,1.117,4.5,below Mara's slope
P00051,C110,secondary header,sub main,200,1280.5,0.95,0.018,0.121,3.602,0.0,below Mara's slope
P00052,C110,secondary header,sub main,200,367.2,0.8,0.023,0.125,3.211,0.1,below Mara's slope
P00053,C24,secondary main sewer,lateral,200,100.6,1.0,0.087,0.213,1.738,0.6,below Mara's slope
P00054,C24,secondary header,sub main,200,1439.0,0.5,0.131,0.193,1.438,1.0,below Mara's slope
P00055,C24,secondary main sewer,lateral,200,16.1,1.0,0.0,0.0,,0.0,no flow in 2030
P00056,C267,secondary header,sub main,200,252.3,0.8,0.0,0.0,,0.0,no flow in 2030
P00057,C24,secondary main sewer,lateral,200,252.7,0.5,0.128,0.191,1.453,1.2,below Mara's slope
P00058,C24,secondary main sewer,lateral,200,116.0,0.5,0.232,0.233,1.103,2.5,below Mara's slope
P00059,C179,secondary header,sub main,200,228.7,0.5,0.014,0.09,3.981,0.0,below Mara's slope
P00060,C24,secondary main sewer,lateral,200,173.1,0.5,0.281,0.248,1.011,3.7,below Mara's slope
P00061,C24,secondary header,sub main,200,429.8,0.5,0.281,0.248,1.011,3.7,below Mara's slope
P00062,C67,secondary header,sub main,200,1054.2,1.0,0.197,0.28,1.191,3.9,below Mara's slope
P00063,C67,secondary main sewer,lateral,200,89.3,0.5,0.088,0.169,1.724,0.9,below Mara's slope
P00065,C24,secondary header,sub main,200,397.3,0.5,0.389,0.275,0.869,6.6,below Mara's slope
P00066,C67,secondary main sewer,lateral,200,71.8,0.5,0.028,0.114,2.949,0.1,below Mara's slope
P00067,C127,secondary main sewer,lateral,200,108.8,1.0,0.027,0.143,2.975,0.1,below Mara's slope
P00068,C127,secondary main sewer,lateral,200,109.6,0.9,0.027,0.137,2.986,0.1,below Mara's slope
P00069,C127,secondary main sewer,lateral,200,69.7,0.5,0.049,0.138,2.27,0.3,below Mara's slope
P00071,C127,secondary main sewer,lateral,200,101.2,0.5,0.063,0.151,2.01,0.4,below Mara's slope
P00072,C24,secondary main sewer,lateral,200,159.6,0.5,0.145,0.199,1.372,1.2,below Mara's slope
P00073,C103,secondary header,sub main,200,1031.5,0.5,0.113,0.184,1.535,0.1,below Mara's slope
P00074,C67,secondary header,sub main,200,560.2,1.3,0.115,0.256,1.524,1.5,below Mara's slope
P00075,C67,secondary header,sub main,200,388.8,0.5,0.421,0.282,0.838,10.8,below Mara's slope
P00076,C24,secondary header,sub main,200,158.5,0.9,0.065,0.186,1.988,0.3,below Mara's slope
P00077,C60,secondary main sewer,lateral,200,305.4,0.5,0.162,0.207,1.301,1.8,below Mara's slope
P00078,C103,secondary header,sub main,200,63.1,0.5,1.019,0.372,0.558,18.8,below Mara's slope
P00079,C103,secondary header,sub main,200,110.7,0.5,0.56,0.309,0.735,10.6,below Mara's slope
P00080,C67,secondary header,sub main,200,54.6,0.5,0.388,0.275,0.871,9.3,below Mara's slope
P00081,C67,secondary header,sub main,200,44.7,0.5,0.388,0.275,0.871,9.3,below Mara's slope
P00082,C67,secondary header,sub main,200,379.6,0.5,0.282,0.248,1.009,6.9,below Mara's slope
P00083,C60,secondary main sewer,lateral,200,285.0,0.5,0.453,0.289,0.811,7.5,below Mara's slope
P00084,C60,secondary main sewer,lateral,200,47.9,0.5,0.204,0.223,1.171,1.8,below Mara's slope
P00085,C127,secondary main sewer,lateral,200,118.0,0.5,0.035,0.123,2.646,0.1,below Mara's slope
P00086,C103,secondary main sewer,lateral,200,177.3,0.5,0.166,0.209,1.286,0.1,below Mara's slope
P00087,C103,secondary main sewer,lateral,200,51.1,0.5,0.373,0.271,0.887,4.4,below Mara's slope
P00088,C67,secondary header,sub main,200,74.6,0.5,0.218,0.228,1.136,2.5,below Mara's slope
P00089,C67,secondary header,sub main,200,288.5,0.5,0.181,0.215,1.237,1.2,below Mara's slope
P00090,C67,secondary header,sub main,200,49.6,1.6,0.069,0.231,1.935,0.6,below Mara's slope
P00091,C127,secondary header,sub main,200,363.6,0.5,0.098,0.175,1.646,1.1,below Mara's slope
P00092,C127,secondary main sewer,lateral,200,136.0,1.3,0.072,0.219,1.891,0.7,below Mara's slope
P00093,C127,secondary main sewer,lateral,200,88.8,0.5,0.107,0.18,1.579,1.3,below Mara's slope
P00094,C127,secondary main sewer,lateral,200,98.6,0.6,0.021,0.109,3.372,0.1,below Mara's slope
P00095,C127,secondary main sewer,lateral,200,124.5,0.5,0.11,0.182,1.556,1.4,below Mara's slope
P00096,C251,secondary main sewer,lateral,200,69.8,0.5,0.174,0.212,1.261,3.1,below Mara's slope
P00097,C251,secondary main sewer,lateral,200,193.3,0.5,0.153,0.203,1.338,2.5,below Mara's slope
P00099,C231,secondary main sewer,lateral,200,34.9,0.5,0.475,0.293,0.793,8.8,below Mara's slope
P00100,C231,secondary main sewer,lateral,200,74.7,0.5,0.404,0.278,0.855,5.8,below Mara's slope
P00103,C86,secondary main sewer,lateral,200,69.7,2.8,0.011,0.146,4.463,0.0,below Mara's slope
P00104,C86,secondary main sewer,lateral,200,64.7,0.5,0.016,0.094,3.764,0.0,below Mara's slope
P00106,C86,secondary main sewer,lateral,200,448.5,0.75,0.16,0.237,1.309,2.7,below Mara's slope
P00107,C86,secondary main sewer,lateral,200,89.9,0.5,0.158,0.205,1.316,2.7,below Mara's slope
