fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
238,CRT Seasonal,56.5,23.2,56.516089,23.2169,Additional Account Tariff,Residential-Commercial,2,EXisting
362,CRT Time of Use,56.5,23.2,56.454874,23.221065,CRT Time of Use,Residential-Commercial,2,EXisting
363,CRT Time of Use,56.5,23.2,56.454874,23.221065,CRT Time of Use,Residential-Commercial,2,EXisting
486,CRT Seasonal,56.5,23.2,56.514176,23.228757,Commercial,Residential-Commercial,2,EXisting
728,CRT Seasonal,56.6,23.3,56.615369,23.317417,CRT Seasonal,Commercial,3,EXisting
1260,CRT Seasonal,56.5,23.1,56.476833,23.147847,CRT Seasonal,Residential,99,EXisting
1401,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1402,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1403,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1404,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1405,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1406,CRT Seasonal,56.6,23.3,56.550316,23.281995,CRT Seasonal,Residential,1,EXisting
1665,CRT Seasonal,56.5,23.2,56.516444,23.220173,Additional Account Tariff,Residential-Commercial,2,EXisting
2000,CRT Seasonal,56.5,23.2,56.51782,23.212788,CRT Seasonal,Agricultural,4,EXisting
2001,CRT Seasonal,56.5,23.2,56.518301,23.212689,CRT Seasonal,Agricultural,4,EXisting
2130,CRT Seasonal,56.5,23.3,56.548071,23.278466,CRT Seasonal,Residential,99,EXisting
2137,CRT Time of Use,56.5,23.3,56.542783,23.278802,CRT Time of Use,Agricultural,4,EXisting
2153,CRT Seasonal,56.5,23.3,56.534175,23.272852,CRT Seasonal,Agricultural,4,EXisting
2557,CRT Time of Use,56.6,23.3,56.552052,23.286074,CRT Time of Use,Residential,1,EXisting
2558,CRT Time of Use,56.6,23.3,56.552052,23.286074,CRT Time of Use,Residential,1,EXisting
2559,CRT Time of Use,56.6,23.3,56.552052,23.286074,CRT Time of Use,Residential,1,EXisting
