kind,key,lat,lon,name,category,type,display,suburb,road
cl,1,23.3210676,56.612027999999995,,highway,residential,"Ad Dariz, Ibri Province, Ad Dhahirah Governorate, Oman",Ad Dariz,
cl,6,23.317522874999998,56.615891375000004,,highway,residential,"Ad Dariz, Ibri Province, Ad Dhahirah Governorate, Oman",Ad Dariz,
cl,14,23.283684,56.368993,,highway,unclassified,"Ibri Province, Ad Dhahirah Governorate, Oman",,
cl,16,23.272361,56.38004,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, Sultan Thuwaini bin Said Road, Bu Khabi, Ibri Province, Ad Dhahirah Governorate, Oman",Bu Khabi,Sultan Thuwaini bin Said Road
cl,18,23.2756226,56.3831244,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, Sultan Thuwaini bin Said Road, Bu Khabi, Ibri Province, Ad Dhahirah Governorate, Oman",Bu Khabi,Sultan Thuwaini bin Said Road
cl,21,23.281234,56.376367,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, Sultan Thuwaini bin Said Road, Bu Khabi, Ibri Province, Ad Dhahirah Governorate, Oman",Bu Khabi,Sultan Thuwaini bin Said Road
cl,30,23.250585,56.556799,,highway,residential,"Ibri Province, Ad Dhahirah Governorate, Oman",,
cl,33,23.169561,56.471101999999995,Ibri - Rub' al Khali Road,highway,trunk,"Ibri - Rub' al Khali Road, Mazra bin Khater, Ibri Province, Ad Dhahirah Governorate, Oman",Mazra bin Khater,Ibri - Rub' al Khali Road
cl,35,23.159955125,56.46540975,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
cl,50,23.2427234,56.42129680000001,College of Technology,amenity,college,"College of Technology, Sultan Thuwaini bin Said Road, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,Sultan Thuwaini bin Said Road
cl,54,23.231064,56.4262015,Ibri Hospital,amenity,hospital,"Ibri Hospital, Sultan Thuwaini bin Said Road, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,Sultan Thuwaini bin Said Road
cl,57,23.258943,56.521828,,highway,tertiary,"Silmi, Ibri Province, Ad Dhahirah Governorate, Oman",Silmi,
cl,58,23.259777,56.525399,,highway,tertiary,"Al Ghabbi, Ibri Province, Ad Dhahirah Governorate, Oman",Al Ghabbi,
cl,64,23.273884250000002,56.54312625,,highway,residential,"Al Ghabbi, Ibri Province, Ad Dhahirah Governorate, Oman",Al Ghabbi,
cl,65,23.291291,56.554294,,highway,residential,"Aynayn, Ibri Province, Ad Dhahirah Governorate, Oman",Aynayn,
cl,67,23.278593,56.553279999999994,D618,highway,tertiary,"D618, Araqi, Ibri Province, Ad Dhahirah Governorate, Oman",Araqi,D618
cl,68,23.286074,56.552052,,highway,tertiary,"Araqi, Ibri Province, Ad Dhahirah Governorate, Oman",Araqi,
cl,69,23.282293,56.550356538461536,,highway,tertiary,"Araqi, Ibri Province, Ad Dhahirah Governorate, Oman",Araqi,
cl,70,23.278973,56.549269,,highway,residential,"Araqi, Ibri Province, Ad Dhahirah Governorate, Oman",Araqi,
cl,71,23.277751428571428,56.548358857142865,,highway,tertiary,"Araqi, Ibri Province, Ad Dhahirah Governorate, Oman",Araqi,
cl,78,23.21670635,56.458615699999996,Chicking,amenity,fast_food,"Chicking, Sultan Thuwaini bin Said Road, Al Jahli, Ibri Province, Ad Dhahirah Governorate, Oman",Al Jahli,Sultan Thuwaini bin Said Road
cl,79,23.21897525,56.4577585,Al Akhdar Health Center,amenity,doctors,"Al Akhdar Health Center, Sultan Thuwaini bin Said Road, Al Jahli, Ibri Province, Ad Dhahirah Governorate, Oman",Al Jahli,Sultan Thuwaini bin Said Road
cl,80,23.219464666666667,56.45402633333333,,highway,unclassified,"Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,
cl,81,23.22142081818182,56.45492018181819,University of Applied Sciences Ibri Al Akhdar Campus,amenity,college,"University of Applied Sciences Ibri Al Akhdar Campus, Sultan Thuwaini bin Said Road, Al Jahli, Ibri Province, Ad Dhahirah Governorate, Oman",Al Jahli,Sultan Thuwaini bin Said Road
cl,87,23.20527275,56.513385,,highway,tertiary,"As Sulayf, Ibri Province, Ad Dhahirah Governorate, Oman",As Sulayf,
cl,92,23.212888,56.519857,,highway,residential,"Hellat As'sad, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat As'sad,
cl,95,23.224625,56.515272,Pizza Hut,amenity,fast_food,"Pizza Hut, Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
cl,96,23.223156,56.515907999999996,,highway,tertiary,"AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,
cl,102,23.215898,56.51204633333333,Shell,amenity,fuel,"Shell, Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
cl,106,23.229310263157895,56.51331389473685,Dar Al Andalus bookshop,shop,books,"Dar Al Andalus bookshop, Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
cl,110,23.251863,56.514701,,highway,residential,"Silmi, Ibri Province, Ad Dhahirah Governorate, Oman",Silmi,
cl,113,23.240787333333333,56.51917,,amenity,school,"Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
cl,116,23.23913,56.514091,Al Yamama shoping centre,shop,supermarket,"Al Yamama shoping centre, Al Musannah - Al Rustaq - Maskin - Ibri Road, AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,Al Musannah - Al Rustaq - Maskin - Ibri Road
cl,120,23.216777444444446,56.46949544444445,Bake it Bakery,shop,bakery,"Bake it Bakery, Sultan Thuwaini bin Said Road, Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,Sultan Thuwaini bin Said Road
cl,122,23.231795,56.504815,,highway,residential,"Ibri Old village, Ibri Province, Ad Dhahirah Governorate, Oman",Ibri Old village,
cl,126,23.214112,56.477011,,highway,residential,"Hellat Al Nahadah, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat Al Nahadah,
cl,127,23.21559,56.482066999999994,Ibri police Station,amenity,police,"Ibri police Station, Sultan Thuwaini bin Said Road, Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,Sultan Thuwaini bin Said Road
cl,128,23.217196333333334,56.481920333333335,,highway,residential,"A'SSFA, Ibri Province, Ad Dhahirah Governorate, Oman",A'SSFA,
cl,130,23.219065,56.50224425,MAX,shop,clothes,"MAX, Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
cl,132,23.214292,56.485712,Ibri police Station,amenity,police,"Ibri police Station, Sultan Thuwaini bin Said Road, Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,Sultan Thuwaini bin Said Road
cl,135,23.21732475,56.497327625,Omantel,office,telecommunication,"Omantel, Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
cl,136,23.218363999999998,56.48495866666667,Indian School Ibri,amenity,school,"Indian School Ibri, Sultan Thuwaini bin Said Road, Al Akhdar, Ibri Province, Ad Dhahirah Governorate, Oman",Al Akhdar,Sultan Thuwaini bin Said Road
cl,137,23.21783533333333,56.489564333333334,,highway,residential,"A'SSFA, Ibri Province, Ad Dhahirah Governorate, Oman",A'SSFA,
cl,138,23.217350999999997,56.49230266666666,Muscat Pharmacy - Ibri branch,amenity,pharmacy,"Muscat Pharmacy - Ibri branch, Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
cl,139,23.216414714285715,56.49362914285714,Al Hashar Automotive,shop,car,"Al Hashar Automotive, Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
cl,145,23.227300666666668,56.49572833333334,Ibri Road,highway,secondary,"Ibri Road, Ibri Old village, Ibri Province, Ad Dhahirah Governorate, Oman",Ibri Old village,Ibri Road
cl,149,23.220905285714284,56.49234671428571,,highway,residential,"A'SSFA, Ibri Province, Ad Dhahirah Governorate, Oman",A'SSFA,
cl,153,23.234305,56.4971752,,highway,residential,"صناعية عبري, Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
cl,154,23.235865,56.50043,,highway,secondary,"Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
