fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
0,0.068,0.0,0.0,522
1,0.089,0.0,0.0,20
2,0.106,0.0,0.0,16
3,0.07,0.067,53.0,15
4,0.006,0.0,0.0,20
5,0.015,0.0,0.0,19
6,0.103,0.0,0.0,16
7,0.105,0.0,0.0,15
8,0.1,0.0,0.0,17
9,0.078,0.0,0.0,15
10,0.068,0.0,0.0,15
11,0.072,0.0,0.0,16
12,0.06,0.0,0.0,15
13,0.063,0.0,0.0,15
14,0.076,0.0,0.0,15
15,0.1,0.0,0.0,15
16,0.109,0.0,0.0,16
17,0.097,0.0,0.0,15
18,0.086,0.0,0.0,15
19,0.096,0.0,0.0,15
20,0.11,0.0,0.0,15
21,0.113,0.0,0.0,15
22,0.16,0.067,53.0,15
23,0.266,0.4,320.0,15
24,0.183,0.105,86.0,19
25,0.089,0.0,0.0,16
26,0.093,0.0,0.0,16
27,0.108,0.01,74.0,105
28,0.066,0.0,0.0,4
29,0.079,0.0,0.0,4
30,0.101,0.0,0.0,4
31,0.067,0.0,0.0,4
32,0.061,0.0,0.0,16
33,0.094,0.0,0.0,16
34,0.072,0.0,0.0,31
35,0.085,0.0,0.0,32
36,0.082,0.0,0.0,34
37,0.083,0.0,0.0,12
38,0.085,0.0,0.0,14
39,0.074,0.0,0.0,14
40,0.066,0.0,0.0,12
41,0.064,0.0,0.0,14
42,0.063,0.0,0.0,14
43,0.068,0.0,0.0,14
44,0.063,0.0,0.0,12
45,0.072,0.0,0.0,12
46,0.066,0.0,0.0,14
47,0.071,0.0,0.0,14
48,0.082,0.0,0.0,13
49,0.075,0.0,0.0,15
50,0.078,0.0,0.0,13
51,0.072,0.0,0.0,13
52,0.077,0.0,0.0,14
53,0.069,0.0,0.0,13
54,0.063,0.0,0.0,14
55,0.101,0.0,0.0,14
56,0.091,0.0,0.0,1
57,0.045,0.0,0.0,4
58,0.086,0.0,0.0,1
59,0.08,0.0,0.0,160
60,0.113,0.0,0.0,28
61,0.064,0.0,0.0,117
62,0.092,0.0,0.0,13
63,0.11,0.0,0.0,13
64,0.073,0.0,0.0,14
65,0.103,0.0,0.0,13
66,0.116,0.0,0.0,14
67,0.106,0.0,0.0,15
68,0.052,0.0,0.0,14
69,0.059,0.0,0.0,13
70,0.061,0.0,0.0,13
71,0.052,0.0,0.0,15
72,0.081,0.0,0.0,13
73,0.064,0.0,0.0,15
74,0.05,0.0,0.0,11
75,0.052,0.0,0.0,12
76,0.055,0.0,0.0,12
77,0.063,0.0,0.0,12
78,0.067,0.0,0.0,12
79,0.066,0.0,0.0,12
80,0.095,0.0,0.0,12
81,0.082,0.0,0.0,12
82,0.089,0.0,0.0,12
83,0.141,0.0,0.0,13
84,0.115,0.0,0.0,14
85,0.074,0.0,0.0,15
86,0.056,0.0,0.0,14
87,0.074,0.0,0.0,13
88,0.104,0.0,0.0,14
89,0.06,0.0,0.0,13
90,0.067,0.0,0.0,12
91,0.056,0.0,0.0,12
92,0.051,0.0,0.0,12
93,0.048,0.0,0.0,12
94,0.053,0.0,0.0,12
95,0.065,0.0,0.0,12
96,0.062,0.0,0.0,12
97,0.078,0.0,0.0,13
98,0.062,0.0,0.0,15
99,0.041,0.0,0.0,14
100,0.015,0.0,0.0,14
101,0.061,0.0,0.0,15
102,0.076,0.0,0.0,14
103,0.064,0.0,0.0,16
104,0.088,0.0,0.0,13
105,0.096,0.0,0.0,15
106,0.088,0.0,0.0,14
107,0.071,0.0,0.0,14
108,0.076,0.0,0.0,14
109,0.088,0.0,0.0,13
110,0.104,0.0,0.0,13
111,0.069,0.0,0.0,14
112,0.08,0.0,0.0,15
113,0.081,0.0,0.0,13
114,0.09,0.0,0.0,14
115,0.063,0.0,0.0,13
116,0.063,0.0,0.0,13
117,0.064,0.0,0.0,14
118,0.066,0.0,0.0,14
119,0.058,0.0,0.0,12
120,0.059,0.0,0.0,14
121,0.062,0.0,0.0,13
122,0.05,0.0,0.0,14
123,0.049,0.0,0.0,14
124,0.209,0.154,118.0,13
125,0.046,0.0,0.0,12
126,0.063,0.0,0.0,15
127,0.107,0.0,0.0,14
128,0.035,0.0,0.0,12
129,0.058,0.0,0.0,15
130,0.063,0.0,0.0,12
131,0.103,0.0,0.0,15
132,0.099,0.0,0.0,14
133,0.087,0.0,0.0,15
134,0.06,0.0,0.0,14
135,0.081,0.0,0.0,13
136,0.073,0.0,0.0,15
137,0.069,0.0,0.0,13
138,0.051,0.0,0.0,13
139,0.081,0.0,0.0,13
140,0.059,0.0,0.0,14
141,0.059,0.0,0.0,12
142,0.078,0.0,0.0,12
143,0.016,0.0,0.0,14
144,0.061,0.0,0.0,12
145,0.071,0.0,0.0,12
146,0.059,0.0,0.0,12
147,0.071,0.0,0.0,12
148,0.086,0.0,0.0,218
149,0.103,0.0,0.0,15
150,0.134,0.0,0.0,17
151,0.101,0.0,0.0,16
152,0.085,0.0,0.0,12
153,0.095,0.0,0.0,14
154,0.093,0.0,0.0,13
155,0.101,0.0,0.0,12
156,0.099,0.0,0.0,13
157,0.103,0.0,0.0,15
158,0.106,0.0,0.0,15
159,0.082,0.0,0.0,13
160,0.076,0.0,0.0,13
161,0.083,0.0,0.0,14
162,0.089,0.0,0.0,12
163,0.089,0.0,0.0,14
164,0.093,0.0,0.0,14
165,0.089,0.0,0.0,13
166,0.087,0.0,0.0,14
167,0.065,0.0,0.0,13
168,0.077,0.0,0.0,14
169,0.076,0.0,0.0,13
170,0.089,0.0,0.0,13
171,0.102,0.0,0.0,14
172,0.095,0.0,0.0,12
173,0.098,0.0,0.0,14
174,0.091,0.0,0.0,13
175,0.075,0.0,0.0,14
176,0.084,0.0,0.0,14
177,0.084,0.0,0.0,13
178,0.098,0.0,0.0,15
179,0.083,0.0,0.0,13
180,0.089,0.0,0.0,14
181,0.077,0.0,0.0,12
182,0.083,0.0,0.0,13
183,0.098,0.0,0.0,13
184,0.1,0.0,0.0,12
185,0.105,0.0,0.0,13
186,0.106,0.0,0.0,13
187,0.097,0.0,0.0,12
188,0.093,0.0,0.0,14
189,0.099,0.0,0.0,13
190,0.09,0.0,0.0,12
191,0.11,0.0,0.0,12
192,0.106,0.0,0.0,12
193,0.119,0.0,0.0,12
194,0.102,0.0,0.0,13
195,0.111,0.0,0.0,13
196,0.094,0.0,0.0,14
197,0.092,0.0,0.0,12
198,0.107,0.0,0.0,11
199,0.113,0.0,0.0,12
200,0.128,0.0,0.0,12
201,0.122,0.0,0.0,12
202,0.12,0.0,0.0,13
203,0.12,0.0,0.0,14
204,0.146,0.0,0.0,13
205,0.133,0.0,0.0,13
206,0.137,0.0,0.0,12
207,0.127,0.0,0.0,13
208,0.132,0.0,0.0,14
209,0.136,0.0,0.0,13
210,0.125,0.0,0.0,14
211,0.144,0.0,0.0,12
212,0.136,0.0,0.0,11
213,0.141,0.0,0.0,12
214,0.14,0.0,0.0,14
215,0.155,0.0,0.0,12
216,0.151,0.0,0.0,13
217,0.127,0.0,0.0,13
218,0.124,0.0,0.0,13
219,0.127,0.0,0.0,13
220,0.122,0.0,0.0,12
221,0.129,0.0,0.0,13
222,0.135,0.0,0.0,13
223,0.138,0.0,0.0,12
224,0.127,0.0,0.0,13
225,0.119,0.0,0.0,14
226,0.122,0.0,0.0,43
227,0.131,0.0,0.0,99
228,0.112,0.0,0.0,14
229,0.117,0.0,0.0,11
230,0.097,0.0,0.0,13
231,0.105,0.0,0.0,14
232,0.104,0.0,0.0,14
233,0.107,0.0,0.0,12
234,0.109,0.0,0.0,15
235,0.105,0.0,0.0,12
236,0.096,0.0,0.0,14
237,0.103,0.0,0.0,14
238,0.106,0.0,0.0,13
239,0.092,0.0,0.0,3
240,0.126,0.0,0.0,1
241,0.12,0.0,0.0,1
242,0.097,0.0,0.0,13
243,0.094,0.0,0.0,22
244,0.11,0.0,0.0,13
245,0.1,0.0,0.0,13
246,0.098,0.0,0.0,13
247,0.098,0.0,0.0,9
248,0.061,0.0,0.0,9
249,0.055,0.0,0.0,9
250,0.072,0.0,0.0,9
251,0.073,0.0,0.0,13
252,0.072,0.0,0.0,12
253,0.052,0.0,0.0,12
254,0.06,0.0,0.0,14
255,0.06,0.0,0.0,12
256,0.061,0.0,0.0,13
257,0.069,0.0,0.0,12
258,0.065,0.0,0.0,14
259,0.061,0.0,0.0,12
260,0.05,0.0,0.0,14
261,0.067,0.0,0.0,13
262,0.058,0.0,0.0,13
263,0.045,0.0,0.0,14
264,0.047,0.0,0.0,13
265,0.068,0.0,0.0,12
266,0.073,0.0,0.0,14
267,0.073,0.0,0.0,14
268,0.057,0.0,0.0,12
269,0.056,0.0,0.0,11
270,0.06,0.0,0.0,12
271,0.06,0.0,0.0,14
272,0.07,0.0,0.0,14
273,0.071,0.0,0.0,14
274,0.071,0.0,0.0,11
275,0.065,0.0,0.0,12
276,0.069,0.0,0.0,12
277,0.063,0.0,0.0,12
278,0.061,0.0,0.0,12
279,0.067,0.0,0.0,12
280,0.065,0.0,0.0,13
281,0.064,0.0,0.0,12
282,0.064,0.0,0.0,13
283,0.091,0.0,0.0,377
284,0.092,0.0,0.0,24
285,0.107,0.0,0.0,25
286,0.095,0.0,0.0,13
287,0.094,0.0,0.0,13
288,0.101,0.0,0.0,13
289,0.107,0.0,0.0,14
290,0.111,0.0,0.0,12
291,0.102,0.0,0.0,13
292,0.106,0.0,0.0,14
293,0.089,0.0,0.0,14
294,0.091,0.0,0.0,13
295,0.098,0.0,0.0,13
