SETTLE,pop_today,home_plots_v1,ppp_v1,home_plots_v2,ppp_v2,cap_plots_v1,cap_plots_v2,cap_pop_v1,cap_pop_v2,fill_own_v1,fill_own_v2
IBRI,58797.0,6898,1.602,5853,1.358,12805,12961,109132.0,93638.0,2072,2068
AL ARAQI,13119.0,1652,1.493,1369,1.373,2948,2949,23415.0,21541.0,2071,2069
AD DARIZ,12975.0,1899,1.284,1526,1.206,3867,3898,26415.0,25009.0,2074,2073
AL AYNAYN,4729.0,688,1.292,576,1.161,1514,1593,10406.0,9839.0,2077,2075
AT TAYYIB,4432.0,702,1.187,585,1.07,9042,9376,57099.0,53372.0,after 2100,after 2100
AL WAHRAH,3809.0,531,1.348,370,1.2,1607,1628,11524.0,10393.0,2086,2083
AD DIBAYSHI,3623.0,523,1.302,446,1.17,2101,2118,14553.0,13183.0,2096,2092
AL JIBAYYAH,2788.0,368,1.424,253,1.213,2274,2318,17227.0,14958.0,after 2100,after 2100
SAYH AL MASARRAT,2431.0,149,3.067,131,2.443,1476,1564,24083.0,20327.0,after 2100,after 2100
BAT,2224.0,323,1.294,248,1.19,668,657,4599.0,4159.0,2075,2072
TANAM,2144.0,254,1.587,208,1.284,1784,1805,15062.0,12330.0,after 2100,after 2100
HIJAR,1873.0,212,1.66,181,1.735,322,313,2844.0,2889.0,2066,2067
AL JAHLI,1830.0,129,2.667,97,2.381,1105,1114,15678.0,14111.0,after 2100,after 2100
SUWAYDA AL MA,1601.0,185,1.627,111,1.505,1219,1239,10551.0,9920.0,after 2100,after 2100
AL GHUBAYRAH,857.0,124,1.298,100,1.11,1253,1308,8652.0,7724.0,after 2100,after 2100
AL QURAYN,782.0,129,1.14,102,1.118,1935,1881,11735.0,11188.0,after 2100,after 2100
AL AKHEEDAR,638.0,34,3.529,16,2.188,85,91,1596.0,1059.0,2080,2069
AL MAKHTIBYAH,484.0,72,1.264,67,1.179,1233,1339,8291.0,8399.0,after 2100,after 2100
AL QALI,298.0,27,2.074,17,2.059,183,182,2019.0,1994.0,after 2100,after 2100
SHALASHIL,202.0,31,1.226,22,1.091,3328,3542,21706.0,20558.0,after 2100,after 2100
SATWAH,144.0,24,1.125,19,1.158,142,143,850.0,881.0,after 2100,after 2100
USAYBUQ,112.0,17,1.235,9,1.222,50,50,329.0,325.0,2085,2085
ASH SHIAB,59.0,10,1.1,10,1.1,55,55,322.0,322.0,after 2100,after 2100
WADI AL MANKAS,43.0,8,1.0,6,1.0,1480,1532,7874.0,8150.0,after 2100,after 2100
MIAYRID,21.0,3,1.333,1,1.0,205,205,1454.0,1091.0,after 2100,after 2100
