SETTLE,WB_2024,PROPS,POP_TODAY,OR_RAW,OR_S,SMALL,BUILT_PLOTS,EMPTY_PLOTS,DOM_PLOTS_BUILT,PPP_RAW,PROPS_PER_BUILT_PLOT,HOME_SHARE_RAW,HOME_SHARE,NDOM_METERS,NDOM_POOL,GOV_METERS,GOV_POOL,AGR_METERS,SPEC_METERS,WORKERS,U_NDOM,U_GOV,W_DOM,W_NDOM,W_GOV,W_SPEC,W_TOT,S_DOM,S_NDOM,S_GOV,S_SPEC,Q_2024,FUT_CAP_PLOTS,SPREAD_PLOTS,SPREAD_W_SUM,FUT_CAP_PROPS,FUT_CAP_POP
AD DARIZ,11849.671463717315,2439,11849.64,4.858,4.8584,0,2063,4888,1567,1.2,1.2,0.898,0.898,820,820,82,82,41,0,0.0,521.4,3317.9,1943.38,427.54,272.07,0.0,2642.99,1651.92,230.87,146.92,0.0,2029.71,3219,3923,2529906.8,3469.0,16854.0
AD DIBAYSHI,2410.8985870109514,681,2724.0,3.54,4.0,0,579,2430,457,1.162,1.162,0.903,0.903,298,236,17,17,43,2,286.0,416.4,3679.0,446.74,98.28,62.54,26.58,634.14,379.73,53.07,33.77,14.35,480.92,1887,2162,1494216.9,1980.0,7920.0
AL AKHEEDAR,197.8275674381137,120,480.0,1.649,4.0,1,42,120,25,2.12,1.0,0.533,0.9,69,69,6,6,1,0,0.0,251.0,1836.8,78.72,17.32,11.02,0.0,107.06,66.91,9.35,5.95,0.0,82.22,45,89,60929.3,40.0,160.0
AL ARAQI,10695.67732032832,2466,10695.78,4.337,4.3373,0,1819,3360,1282,1.317,1.317,0.841,0.841,1018,1018,96,96,31,0,0.0,379.1,2558.1,1754.08,385.91,245.58,0.0,2385.57,1490.96,208.39,132.61,0.0,1831.96,2463,2976,1843670.2,2728.0,11832.0
AL AYNAYN,4554.030567590516,889,4553.99,5.123,5.1226,0,735,1780,560,1.136,1.136,0.941,0.941,204,204,26,26,64,0,0.0,805.4,4021.5,746.85,164.31,104.56,0.0,1015.72,634.83,88.73,56.46,0.0,780.02,1362,1597,930494.2,1456.0,7459.0
AL GHUBAYRAH,631.4496091964032,161,644.0,3.922,4.0,1,140,1448,102,1.118,1.0,0.842,0.9,105,105,4,4,7,0,0.0,221.3,3696.6,105.62,23.24,14.79,0.0,143.64,89.77,12.55,7.98,0.0,110.31,1094,1312,774392.4,985.0,3940.0
AL JAHLI,414.6385883172585,344,1376.0,1.205,4.0,1,156,1235,112,2.161,1.0,0.779,0.9,143,143,87,87,3,0,0.0,347.2,363.1,225.66,49.65,31.59,0.0,306.9,191.81,26.81,17.06,0.0,235.68,1023,1136,791483.0,921.0,3684.0
AL JIBAYYAH,2685.6590973416646,524,2685.66,5.125,5.1253,0,422,2784,291,1.258,1.258,0.892,0.892,96,96,20,20,56,0,0.0,1009.4,3083.1,440.43,96.9,61.66,0.0,599.0,374.36,52.33,33.3,0.0,459.98,1966,2366,1403088.9,2206.0,11306.0
AL MAKHTIBYAH,121.89375367398924,91,364.0,1.339,4.0,1,97,1523,62,1.145,1.0,0.902,0.9,115,45,4,4,1,4,385.0,291.8,2089.4,59.7,13.13,8.36,35.76,116.95,50.74,7.09,4.51,19.31,81.66,1192,1339,836302.3,1073.0,4292.0
AL QALI,190.83366353878645,56,224.0,3.408,4.0,1,34,220,20,2.2,1.0,0.923,0.9,5,5,22,22,2,0,0.0,1616.4,233.8,36.74,8.08,5.14,0.0,49.96,31.23,4.36,2.78,0.0,38.37,157,182,127172.9,141.0,564.0
AL QURAYN,548.5218915329516,147,588.0,3.731,4.0,1,142,2051,119,1.143,1.0,0.931,0.9,14,14,7,7,4,0,0.0,1515.4,1928.6,96.43,21.22,13.5,0.0,131.15,81.97,11.46,7.29,0.0,100.71,1830,1966,1403049.6,1647.0,6588.0
AL WAHRAH,3351.079096906229,716,3351.09,4.68,4.6803,0,578,2000,420,1.217,1.217,0.909,0.909,132,132,23,23,46,0,0.0,916.0,3345.3,549.59,120.91,76.94,0.0,747.44,467.17,65.29,41.55,0.0,574.01,1373,1650,1048539.0,1519.0,7109.0
ASH SHIAB,46.95906903834011,11,44.0,4.269,4.0,1,11,65,10,1.1,1.0,0.874,0.9,0,0,1,1,0,0,0.0,0.0,1010.2,7.22,1.59,1.01,0.0,9.81,6.13,0.86,0.55,0.0,7.54,13,55,15428.4,12.0,48.0
AT TAYYIB,3348.081709520803,833,3348.08,4.019,4.0193,0,859,10012,623,1.09,1.09,0.916,0.916,1214,179,21,19,8,2,4500.0,674.9,4045.9,549.11,120.8,76.87,418.5,1165.27,466.73,65.23,41.51,225.99,799.46,8640,9456,5688274.8,8627.0,34675.0
BAT,2556.771439768348,418,2556.78,6.117,6.1167,0,355,879,239,1.172,1.172,0.876,0.876,51,51,26,26,13,0,0.0,1808.8,2257.8,419.3,92.25,58.7,0.0,570.25,356.4,49.82,31.7,0.0,437.91,355,618,286854.5,364.0,2226.0
HIJAR,1033.0995188434827,352,1408.0,2.935,4.0,0,223,375,193,1.694,1.694,0.902,0.902,63,63,4,4,1,0,0.0,806.4,8081.9,230.91,50.8,32.33,0.0,314.04,196.28,27.43,17.46,0.0,241.16,211,313,173238.3,322.0,1288.0
IBRI,67105.50878491651,11052,67105.53,6.072,6.0718,0,7664,14203,5853,1.33,1.33,0.867,0.867,4747,4747,461,461,173,1,0.0,510.0,3342.2,11005.49,2421.15,1540.75,0.0,14967.38,9354.54,1307.43,832.01,0.0,11493.98,10469,12901,7907073.7,12072.0,73299.0
MIAYRID,33.970390368160935,4,16.0,8.493,4.0,1,6,246,2,1.301,1.0,0.874,0.9,4,4,2,2,6,0,0.0,144.3,183.7,2.62,0.58,0.37,0.0,3.57,2.23,0.31,0.2,0.0,2.74,171,205,110723.4,154.0,616.0
SATWAH,262.7709607890096,27,108.0,9.732,4.0,1,25,181,13,1.231,1.0,0.874,0.9,5,5,0,0,0,0,0.0,779.3,0.0,17.71,3.9,2.48,0.0,24.09,15.06,2.1,1.34,0.0,18.5,79,140,75847.6,71.0,284.0
SAYH AL MASARRAT,465.5941738694999,457,1828.0,1.019,4.0,1,174,1745,133,2.519,1.0,0.923,0.9,128,128,99,99,1,1,0.0,515.3,423.9,299.79,65.95,41.97,0.0,407.72,254.82,35.62,22.66,0.0,313.1,1384,1577,899946.7,1246.0,4984.0
SHALASHIL,129.88678670179183,38,152.0,3.418,4.0,1,32,3686,27,1.111,1.0,0.909,0.9,2,2,1,1,0,0,0.0,2742.1,3489.9,24.93,5.48,3.49,0.0,33.9,21.19,2.96,1.88,0.0,26.03,3250,3561,2093381.4,2925.0,11700.0
SUWAYDA AL MA,1558.641440421502,301,1558.64,5.178,5.1782,0,223,1593,119,1.597,1.597,0.822,0.822,34,34,13,13,39,0,0.0,1654.0,2752.8,255.61,56.24,35.79,0.0,347.63,217.27,30.37,19.32,0.0,266.96,937,1256,720380.7,1230.0,6369.0
TANAM,2116.155494110731,403,2116.15,5.251,5.251,0,350,2045,196,1.24,1.24,0.669,0.669,402,124,32,32,5,6,1130.0,615.7,1518.3,347.06,76.35,48.59,105.06,577.05,294.99,41.23,26.24,56.73,419.19,1556,1807,1196728.2,1291.0,6779.0
USAYBUQ,90.92075069125427,21,84.0,4.33,4.0,1,18,60,12,1.25,1.0,0.874,0.9,0,0,1,1,0,0,0.0,0.0,1928.6,13.78,3.03,1.93,0.0,18.74,11.71,1.64,1.04,0.0,14.39,39,52,35435.2,35.0,140.0
WADI AL MANKAS,51.95471468071673,8,32.0,6.494,4.0,1,9,1580,6,1.301,1.0,0.874,0.9,0,0,0,0,1,0,0.0,0.0,0.0,5.25,1.15,0.73,0.0,7.14,4.46,0.62,0.4,0.0,5.48,1394,1532,875213.3,1255.0,5020.0
