date,t_mean_c,t_max_c,t_min_c,rain_mm
2001-01-01,17.79,26.57,10.58,0.0
2001-01-02,18.35,27.34,10.78,0.0
2001-01-03,18.92,26.6,12.37,0.0
2001-01-04,19.03,26.43,12.54,0.0
2001-01-05,19.35,25.85,13.99,0.0
2001-01-06,18.09,24.58,12.7,0.0
2001-01-07,17.3,25.32,10.59,0.0
2001-01-08,18.67,25.71,12.08,0.0
2001-01-09,19.99,24.96,14.91,0.53
2001-01-10,18.83,24.81,13.99,0.06
2001-01-11,18.01,25.3,11.71,0.25
2001-01-12,18.33,26.13,11.8,0.0
2001-01-13,18.58,26.65,11.6,0.0
2001-01-14,19.08,26.96,12.16,0.0
2001-01-15,18.72,27.53,11.19,0.0
2001-01-16,19.07,27.94,12.54,0.0
2001-01-17,18.87,27.61,11.9,0.0
2001-01-18,19.09,27.16,12.98,0.0
2001-01-19,19.45,26.61,12.72,0.0
2001-01-20,19.2,26.69,12.12,0.0
2001-01-21,17.93,25.62,11.44,0.0
2001-01-22,17.7,26.92,9.44,0.0
2001-01-23,19.0,27.27,12.12,0.0
2001-01-24,19.66,27.78,13.13,0.0
2001-01-25,19.85,27.82,13.05,0.0
2001-01-26,19.43,27.86,12.13,0.0
2001-01-27,20.35,28.0,15.2,0.0
2001-01-28,17.17,23.83,11.47,0.0
2001-01-29,15.34,24.31,8.01,0.0
2001-01-30,15.61,25.12,7.79,0.0
2001-01-31,15.72,24.47,8.37,0.0
2001-02-01,17.07,26.39,9.13,0.0
2001-02-02,18.1,26.51,11.04,0.0
2001-02-03,18.33,26.64,11.9,0.0
2001-02-04,17.92,26.79,12.19,0.0
2001-02-05,19.45,28.77,13.03,0.0
2001-02-06,17.36,25.51,10.76,0.0
2001-02-07,16.74,25.69,9.01,0.0
2001-02-08,19.42,28.8,11.89,0.0
2001-02-09,22.05,30.99,14.22,0.0
2001-02-10,23.11,29.96,15.76,0.0
2001-02-11,22.87,30.07,16.83,0.0
2001-02-12,18.13,24.11,12.82,0.0
2001-02-13,17.56,26.12,10.08,0.0
2001-02-14,19.41,27.29,12.07,0.0
