time_lst,ws10m_ms,wd10m_deg
2015-01-01 00:00,3.29,35.1
2015-01-01 01:00,3.16,48.1
2015-01-01 02:00,3.31,59.7
2015-01-01 03:00,3.45,70.0
2015-01-01 04:00,3.43,77.9
2015-01-01 05:00,3.36,83.3
2015-01-01 06:00,3.31,86.5
2015-01-01 07:00,3.7,88.6
2015-01-01 08:00,4.67,94.4
2015-01-01 09:00,4.6,107.6
2015-01-01 10:00,3.99,112.8
2015-01-01 11:00,3.07,120.6
2015-01-01 12:00,2.06,135.6
2015-01-01 13:00,1.28,161.3
2015-01-01 14:00,0.95,202.2
2015-01-01 15:00,1.1,239.9
2015-01-01 16:00,1.37,255.2
2015-01-01 17:00,1.51,261.2
2015-01-01 18:00,1.58,266.0
2015-01-01 19:00,1.23,282.2
2015-01-01 20:00,1.02,321.8
2015-01-01 21:00,1.1,7.8
2015-01-01 22:00,1.27,42.8
2015-01-01 23:00,1.37,66.8
2015-01-02 00:00,1.5,82.4
2015-01-02 01:00,1.73,96.6
2015-01-02 02:00,2.1,112.7
2015-01-02 03:00,2.41,126.4
2015-01-02 04:00,2.46,134.3
2015-01-02 05:00,2.45,136.3
2015-01-02 06:00,2.53,136.8
2015-01-02 07:00,2.68,139.8
2015-01-02 08:00,3.37,144.7
2015-01-02 09:00,2.15,152.6
2015-01-02 10:00,0.76,165.6
2015-01-02 11:00,0.45,262.4
2015-01-02 12:00,0.89,275.1
2015-01-02 13:00,1.19,266.6
2015-01-02 14:00,1.5,263.5
2015-01-02 15:00,1.84,269.1
2015-01-02 16:00,2.23,276.4
2015-01-02 17:00,2.26,275.3
2015-01-02 18:00,2.75,279.8
2015-01-02 19:00,2.87,291.5
2015-01-02 20:00,2.87,306.4
2015-01-02 21:00,2.83,323.3
2015-01-02 22:00,2.74,340.2
2015-01-02 23:00,2.62,358.9
2015-01-03 00:00,2.56,18.2
2015-01-03 01:00,2.52,32.4
2015-01-03 02:00,2.47,42.2
2015-01-03 03:00,2.46,51.6
2015-01-03 04:00,2.56,62.3
2015-01-03 05:00,2.77,75.2
2015-01-03 06:00,3.03,88.9
2015-01-03 07:00,2.98,98.5
2015-01-03 08:00,4.03,106.0
2015-01-03 09:00,2.69,109.8
2015-01-03 10:00,1.23,115.1
2015-01-03 11:00,0.66,177.4
2015-01-03 12:00,1.05,236.6
2015-01-03 13:00,1.57,257.5
2015-01-03 14:00,1.96,265.9
2015-01-03 15:00,2.29,268.0
2015-01-03 16:00,2.45,267.9
2015-01-03 17:00,2.72,268.1
2015-01-03 18:00,3.26,276.3
2015-01-03 19:00,3.4,290.1
2015-01-03 20:00,3.43,305.5
2015-01-03 21:00,3.4,320.6
2015-01-03 22:00,3.34,335.0
2015-01-03 23:00,3.26,348.5
2015-01-04 00:00,3.18,359.8
2015-01-04 01:00,3.12,8.9
2015-01-04 02:00,3.06,15.5
2015-01-04 03:00,3.04,21.2
2015-01-04 04:00,3.0,28.3
2015-01-04 05:00,2.95,37.4
2015-01-04 06:00,2.84,49.0
2015-01-04 07:00,2.56,62.5
2015-01-04 08:00,2.83,78.0
2015-01-04 09:00,0.41,91.4
2015-01-04 10:00,1.32,219.1
2015-01-04 11:00,2.34,216.1
2015-01-04 12:00,3.02,215.0
2015-01-04 13:00,3.33,215.6
2015-01-04 14:00,3.33,217.8
2015-01-04 15:00,3.21,221.1
2015-01-04 16:00,2.85,226.0
2015-01-04 17:00,2.47,237.9
2015-01-04 18:00,2.71,251.3
2015-01-04 19:00,2.69,267.7
2015-01-04 20:00,2.6,287.2
2015-01-04 21:00,2.32,309.0
2015-01-04 22:00,1.77,334.2
2015-01-04 23:00,1.28,2.2
2015-01-05 00:00,1.12,44.6
2015-01-05 01:00,1.35,76.7
2015-01-05 02:00,1.58,92.2
2015-01-05 03:00,1.77,100.4
2015-01-05 04:00,1.97,105.6
2015-01-05 05:00,2.18,107.6
2015-01-05 06:00,2.39,109.8
2015-01-05 07:00,2.44,113.7
2015-01-05 08:00,3.23,121.2
2015-01-05 09:00,1.91,150.2
2015-01-05 10:00,1.73,187.3
2015-01-05 11:00,2.14,202.5
2015-01-05 12:00,2.44,215.0
2015-01-05 13:00,2.6,224.7
2015-01-05 14:00,2.64,230.8
2015-01-05 15:00,2.66,239.0
2015-01-05 16:00,2.48,250.0
2015-01-05 17:00,2.35,263.9
2015-01-05 18:00,2.65,280.4
2015-01-05 19:00,2.73,302.1
