zone,plots,res,com,gov,ind,pop,Qadf_m3d,PF,Qpeak_m3d,sewer_km,outlet_z,dist_stp_m
1,4762,4348,212,202,0,26088,4544.2,1.64,7442.8,105.24,388.6,13288
2,2006,1798,124,84,0,10788,1893.2,1.71,3244.2,63.05,332.6,767
3,1539,1343,87,109,0,8058,1399.8,1.75,2447.4,27.22,361.0,10696
4,2008,1781,118,109,0,10686,1875.3,1.71,3215.5,62.51,373.7,8750
5,2879,2603,149,127,0,15618,2768.5,1.68,4641.9,129.78,345.6,4153
6,2836,2175,291,188,182,13050,2281.8,1.69,3866.8,64.74,373.2,10365
7,2299,2126,41,132,0,12756,2222.8,1.7,3772.5,52.7,381.0,13973
8,2466,2120,237,109,0,12720,2289.2,1.69,3878.5,153.45,363.9,7156
9,933,810,68,55,0,4860,861.7,1.82,1565.5,40.7,421.8,14298
10,1348,1138,68,140,2,6828,1219.8,1.77,2154.4,69.88,348.3,7498
11,670,606,34,30,0,3636,639.5,1.87,1194.4,23.28,442.2,16626
12,901,823,36,40,2,4938,879.9,1.81,1595.5,47.32,383.4,10011
13,540,485,19,36,0,2910,508.4,1.91,972.2,13.87,397.0,19835
14,2252,1806,308,138,0,10836,1937.5,1.71,3315.3,113.13,338.0,6772
15,982,885,51,46,0,5310,943.2,1.8,1700.3,46.8,408.2,12805
16,1750,1509,122,83,36,9054,1618.4,1.73,2801.5,93.91,345.1,5892
17,2782,2345,171,157,109,14070,2490.8,1.69,4200.0,112.25,386.9,11091
18,614,489,63,35,27,2934,519.8,1.91,991.6,23.97,518.2,26982
19,1206,796,233,66,111,4776,854.6,1.82,1553.6,50.73,327.0,5098
20,1580,1470,9,101,0,8820,1550.2,1.74,2691.3,54.9,434.1,18018
21,1304,1123,63,118,0,6738,1203.2,1.77,2127.2,68.19,406.8,13338
22,2885,2539,136,210,0,15234,2706.8,1.68,4543.8,135.44,374.5,9999
23,1338,1205,81,52,0,7230,1291.7,1.76,2271.7,74.11,359.1,8629
24,859,751,40,68,0,4506,836.0,1.82,1522.7,89.14,478.6,23717
25,451,417,8,26,0,2502,440.5,1.94,855.9,16.63,313.2,7815
26,823,769,32,22,0,4614,820.9,1.82,1497.7,42.51,316.0,6651
27,2018,1759,135,124,0,10554,1874.6,1.71,3214.4,92.92,336.6,3308
28,556,461,2,93,0,2766,515.8,1.91,984.8,58.37,340.4,8914
29,1746,1530,126,90,0,9180,1610.4,1.73,2788.6,52.84,385.1,10164
30,372,312,7,53,0,1872,357.3,1.99,711.6,50.85,432.5,20657
31,942,854,19,69,0,5124,953.4,1.8,1717.2,105.26,403.5,15609
32,541,503,2,36,0,3018,539.1,1.9,1024.4,30.75,426.6,18827
33,880,780,42,58,0,4680,855.6,1.82,1555.3,74.98,376.5,8917
34,599,550,9,40,0,3300,602.0,1.88,1131.1,51.1,445.6,18962
35,1597,1389,64,144,0,8334,1524.6,1.74,2649.9,134.96,422.6,15381
36,239,228,0,11,0,1368,284.3,2.05,583.2,69.43,419.6,18954
