settlement,area_km2,plots,pop_basis_plots,ceiling_pop_OR6,built_MS,pct_built,ms_coverage,implied_dwellings_2024,pop2024_R0,pop2055_R0,pop2100_R0,util2055_pct,ceiling_cross_year
IBRI,46.5,17037,15609,93654,5855,34.4,OK,11184,67106,137081,398339,146.4,2038
AT TAYYIB,28.8,8761,7902,47412,96,1.1,OK,558,3348,6839,19874,14.4,
AD DARIZ,29.9,5525,4446,26676,0,0.0,NO-COVERAGE,1975,11850,24206,70340,90.7,2060
AL ARAQI,17.6,3802,3168,19008,0,0.0,NO-COVERAGE,1783,10696,21849,63490,114.9,2049
AL WAHRAH,16.5,2383,1999,11994,0,0.0,NO-COVERAGE,559,3351,6845,19892,57.1,2079
AD DIBAYSHI,15.3,2205,1990,11940,388,17.6,OK,402,2411,4925,14311,41.2,2093
AL JIBAYYAH,27.3,1972,1690,10140,363,18.4,OK,448,2686,5486,15942,54.1,2081
AL AYNAYN,9.3,1822,1568,9408,0,0.0,NO-COVERAGE,759,4554,9303,27033,98.9,2056
AL QURAYN,3.6,1248,1205,7230,89,7.1,OK,91,549,1121,3256,15.5,
AL JAHLI,5.6,1051,987,5922,115,10.9,OK,69,415,847,2461,14.3,
WADI AL MANKAS,6.2,959,878,5268,0,0.0,NO-COVERAGE,9,52,106,308,2.0,
SAYH AL MASARRAT,17.4,932,870,5220,98,10.5,OK,78,466,951,2764,18.2,
BAT,8.7,939,671,4026,0,0.0,NO-COVERAGE,426,2557,5223,15177,129.7,2043
HIJAR,1.2,540,474,2844,180,33.3,OK,172,1033,2110,6132,74.2,2068
SUWAYDA AL MA,42.8,582,435,2610,191,32.8,OK,260,1559,3184,9252,122.0,2046
AL GHUBAYRAH,3.7,413,362,2172,0,0.0,NO-COVERAGE,105,631,1290,3748,59.4,2077
AL QALI,0.8,178,164,984,30,16.9,OK,32,191,390,1133,39.6,2095
MIAYRID,2.7,161,147,882,4,2.5,OK,6,34,69,202,7.9,
AL AKHEEDAR,1.0,154,144,864,45,29.2,OK,33,198,404,1174,46.8,2088
SHALASHIL,2.9,112,107,642,22,19.6,OK,22,130,265,771,41.3,2093
TANAM,8.1,75,59,354,55,73.3,OK,353,2116,4323,12562,1221.1,2023
SATWAH,1.3,57,47,282,0,0.0,NO-COVERAGE,44,263,537,1560,190.3,2027
USAYBUQ,0.1,31,30,180,11,35.5,OK,15,91,186,540,103.2,2054
ASH SHIAB,2.6,15,13,78,0,0.0,NO-COVERAGE,8,47,96,279,123.0,2046
AL MAKHTIBYAH,6.9,3,1,6,1,33.3,OK,20,122,249,724,4150.0,2023
