settlement,ceiling,R0_2055,spill_2055,delta_2055,R0_2100,spill_2100,delta_2100
IBRI,93654,137081,93654,-43427,398339,93654,-304685
AT TAYYIB,47412,6839,34113,27274,19874,47412,27538
AD DARIZ,26676,24206,24795,588,70340,26676,-43664
AL ARAQI,19008,21849,19008,-2841,63490,19008,-44482
AL AYNAYN,9408,9303,9408,105,27033,9408,-17625
AD DIBAYSHI,11940,4925,9392,4467,14311,11940,-2371
AL JIBAYYAH,10140,5486,8887,3401,15942,10140,-5802
AL WAHRAH,11994,6845,7866,1020,19892,11994,-7898
AL QURAYN,7230,1121,4833,3713,3256,7230,3974
TANAM,uncapped*,4323,4323,0,12562,12562,0
BAT,4026,5223,4026,-1197,15177,4026,-11151
AL JAHLI,5922,847,3926,3079,2461,5922,3461
SAYH AL MASARRAT,5220,951,3555,2604,2764,5220,2456
HIJAR,2844,2110,2667,557,6132,2844,-3288
SUWAYDA AL MA,2610,3184,2610,-574,9252,2610,-6642
AL GHUBAYRAH,2172,1290,1467,177,3748,2172,-1576
AL QALI,984,390,767,377,1133,984,-149
AL AKHEEDAR,864,404,702,297,1174,864,-310
SATWAH,uncapped*,537,537,0,1560,1560,0
SHALASHIL,642,265,505,240,771,642,-129
AL MAKHTIBYAH,uncapped*,249,249,0,724,724,0
MIAYRID,882,69,209,140,202,882,680
USAYBUQ,uncapped*,186,186,0,540,540,0
WADI AL MANKAS,5268,106,106,0,308,5268,4960
ASH SHIAB,uncapped*,96,96,0,279,279,0
