settlement,plots,built_fin,pct_built,vacant,implied_dw_2024,built_over_implied
IBRI,17032,8924,52.4,8108,11184,0.8
AT TAYYIB,8755,945,10.8,7810,558,1.69
AD DARIZ,5526,1799,32.6,3727,1975,0.91
AL ARAQI,3806,1714,45.0,2092,1783,0.96
AL WAHRAH,2382,372,15.6,2010,559,0.67
AD DIBAYSHI,2206,688,31.2,1518,402,1.71
AL JIBAYYAH,1973,506,25.6,1467,448,1.13
AL AYNAYN,1823,747,41.0,1076,759,0.98
AL QURAYN,1248,178,14.3,1070,91,1.95
AL JAHLI,1054,190,18.0,864,69,2.75
WADI AL MANKAS,961,10,1.0,951,9,1.15
BAT,939,23,2.4,916,426,0.05
SAYH AL MASARRAT,932,171,18.3,761,78,2.2
SUWAYDA AL MA,582,201,34.5,381,260,0.77
HIJAR,541,266,49.2,275,172,1.54
AL GHUBAYRAH,413,11,2.7,402,105,0.1
AL QALI,176,48,27.3,128,32,1.51
MIAYRID,161,6,3.7,155,6,1.06
AL AKHEEDAR,154,60,39.0,94,33,1.82
SHALASHIL,111,27,24.3,84,22,1.25
TANAM,75,61,81.3,14,353,0.17
SATWAH,57,20,35.1,37,44,0.46
USAYBUQ,31,18,58.1,13,15,1.19
ASH SHIAB,15,3,20.0,12,8,0.38
AL MAKHTIBYAH,3,2,66.7,1,20,0.1
