settlement,plots,built_v3,pct_built,vacant,implied_dw_2024,built_over_implied
IBRI,17032,9741,57.2,7291,11184,0.87
AT TAYYIB,8755,1099,12.6,7656,558,1.97
AD DARIZ,5526,2250,40.7,3276,1975,1.14
AL ARAQI,3806,1971,51.8,1835,1783,1.11
AL WAHRAH,2382,551,23.1,1831,559,0.99
AD DIBAYSHI,2206,809,36.7,1397,402,2.01
AL JIBAYYAH,1973,568,28.8,1405,448,1.27
AL AYNAYN,1823,905,49.6,918,759,1.19
AL QURAYN,1248,203,16.3,1045,91,2.22
AL JAHLI,1054,241,22.9,813,69,3.49
WADI AL MANKAS,961,17,1.8,944,9,1.96
BAT,939,85,9.1,854,426,0.2
SAYH AL MASARRAT,932,213,22.9,719,78,2.74
SUWAYDA AL MA,582,220,37.8,362,260,0.85
HIJAR,541,309,57.1,232,172,1.79
AL GHUBAYRAH,413,55,13.3,358,105,0.52
AL QALI,176,58,33.0,118,32,1.82
MIAYRID,161,8,5.0,153,6,1.41
AL AKHEEDAR,154,68,44.2,86,33,2.06
SHALASHIL,111,27,24.3,84,22,1.25
TANAM,75,63,84.0,12,353,0.18
SATWAH,57,23,40.4,34,44,0.53
USAYBUQ,31,23,74.2,8,15,1.52
ASH SHIAB,15,6,40.0,9,8,0.77
AL MAKHTIBYAH,3,2,66.7,1,20,0.1
