settlement,plots,built,agri,planned
IBRI,17032,8944,1474,6614
AT TAYYIB,8755,1010,401,7344
AD DARIZ,5526,1857,1117,2552
AL ARAQI,3806,1692,649,1465
AL WAHRAH,2382,485,431,1466
AD DIBAYSHI,2206,683,203,1320
AL JIBAYYAH,1973,359,359,1255
AL AYNAYN,1823,835,176,812
AL QURAYN,1248,167,143,938
AL JAHLI,1054,205,67,782
WADI AL MANKAS,961,17,7,937
BAT,939,82,280,577
SAYH AL MASARRAT,932,195,39,698
SUWAYDA AL MA,582,96,213,273
HIJAR,541,274,99,168
AL GHUBAYRAH,413,51,47,315
AL QALI,176,41,35,100
MIAYRID,161,4,18,139
AL AKHEEDAR,154,47,26,81
SHALASHIL,111,14,25,72
TANAM,75,45,24,6
SATWAH,57,17,10,30
USAYBUQ,31,13,13,5
ASH SHIAB,15,6,3,6
AL MAKHTIBYAH,3,1,2,0
