zone,res_plots,pop,nonres_area_m2,q_dom_m3d,q_ndg_m3d,infil_m3d,Qadf_m3d,PF,Qpeak_m3d,Qadf_W2method,delta_pct
1,4522,27132,971548.0,4449.6,2702.6,75.8,5317.4,1.6,8653.9,4723.0,12.6
8,4229,25374,109041.4,4161.3,303.3,110.5,3811.4,1.7,6291.0,4456.6,-14.5
5,3434,20604,242572.7,3379.1,674.8,93.4,3330.0,1.7,5531.4,3622.5,-8.1
27,3101,18606,232182.7,3051.4,645.9,66.9,3009.4,1.7,5023.9,3253.8,-7.5
17,2687,16122,426071.9,2644.0,1185.2,80.8,2968.3,1.7,4958.8,2842.2,4.4
22,2458,14748,287201.1,2418.7,798.9,97.5,2584.8,1.7,4349.8,2623.6,-1.5
16,2435,14610,268762.0,2396.0,747.6,67.6,2508.0,1.7,4227.5,2570.0,-2.4
14,1790,10740,599139.0,1761.4,1666.7,81.5,2478.6,1.7,4180.7,1921.0,29.0
6,2399,14394,97576.7,2360.6,271.4,46.6,2199.7,1.7,3735.5,2512.0,-12.4
29,1627,9762,525249.0,1601.0,1461.1,38.0,2187.9,1.7,3716.6,1710.1,27.9
7,1956,11736,196456.7,1924.7,546.5,37.9,1969.0,1.7,3366.0,2048.1,-3.9
35,1848,11088,121549.2,1818.4,338.1,97.2,1825.4,1.7,3135.3,1996.3,-8.6
2,1957,11742,58098.7,1925.7,161.6,45.4,1769.5,1.7,3045.3,2056.6,-14.0
21,1413,8478,300746.3,1390.4,836.6,49.1,1682.7,1.7,2905.3,1501.2,12.1
4,1555,9330,218297.4,1530.1,607.3,45.0,1673.5,1.7,2890.5,1643.1,1.9
10,1337,8022,191950.0,1315.6,534.0,50.3,1456.9,1.7,2540.2,1424.3,2.3
23,1432,8592,78779.2,1409.1,219.1,53.4,1369.4,1.8,2398.1,1525.0,-10.2
20,1385,8310,51491.9,1362.8,143.2,39.5,1275.3,1.8,2244.9,1462.9,-12.8
28,483,2898,517401.5,475.3,1439.3,42.0,1223.2,1.8,2159.9,538.4,127.2
24,1041,6246,135824.2,1024.3,377.8,64.2,1138.9,1.8,2022.0,1134.0,0.4
12,885,5310,210895.4,870.8,586.7,34.1,1091.1,1.8,1943.7,943.6,15.6
33,1022,6132,115597.7,1005.6,321.6,54.0,1082.4,1.8,1929.5,1104.3,-2.0
15,970,5820,116303.0,954.5,323.5,33.7,1019.7,1.8,1826.4,1030.6,-1.1
9,861,5166,154297.3,847.2,429.2,29.3,981.2,1.8,1763.0,914.1,7.3
31,644,3864,56549.1,633.7,157.3,75.8,699.4,1.9,1294.9,737.6,-5.2
11,651,3906,9808.5,640.6,27.3,16.8,576.0,1.9,1087.1,685.8,-16.0
34,591,3546,10166.4,581.5,28.3,36.8,546.4,1.9,1036.8,644.2,-15.2
32,478,2868,17243.3,470.4,48.0,22.1,447.8,1.9,868.5,513.4,-12.8
18,311,1866,49128.2,306.0,136.7,17.3,351.2,2.0,701.0,336.9,4.2
19,295,1770,15100.1,290.3,42.0,36.5,305.9,2.0,621.5,339.7,-9.9
36,152,912,1083.5,149.6,3.0,50.0,178.7,2.2,392.4,206.2,-13.3
3,180,1080,101.5,177.1,0.3,19.6,170.3,2.2,376.8,204.6,-16.8
26,24,144,445.3,23.6,1.2,30.6,51.3,2.8,143.6,55.3,-7.1
30,0,0,0.0,0.0,0.0,36.6,36.6,3.0,111.2,36.6,0.0
25,0,0,0.0,0.0,0.0,12.0,12.0,4.2,50.1,12.0,0.0
13,0,0,25.0,0.0,0.1,10.0,10.0,4.4,44.5,10.0,0.4
