MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0188,Sanitary Pattern Load,0.0198,Fixed
MH-0022,Sanitary Pattern Load,0.0694,Fixed
MH-0963,Sanitary Pattern Load,0.0595,Fixed
MH-1303,Sanitary Pattern Load,0.0198,Fixed
MH-1327,Sanitary Pattern Load,0.0297,Fixed
MH-1070,Sanitary Pattern Load,0.0297,Fixed
MH-0184,Sanitary Pattern Load,0.0793,Fixed
MH-0545,Sanitary Pattern Load,0.0099,Fixed
MH-0442,Sanitary Pattern Load,0.0198,Fixed
MH-0682,Sanitary Pattern Load,0.0099,Fixed
MH-0016,Sanitary Pattern Load,0.0099,Fixed
MH-0187,Sanitary Pattern Load,0.0595,Fixed
MH-0347,Sanitary Pattern Load,0.0099,Fixed
MH-1384,Sanitary Pattern Load,0.0892,Fixed
MH-1209,Sanitary Pattern Load,0.109,Fixed
MH-1133,Sanitary Pattern Load,0.0397,Fixed
MH-1093,Sanitary Pattern Load,0.0297,Fixed
MH-0990,Sanitary Pattern Load,0.0099,Fixed
MH-1143,Sanitary Pattern Load,0.0496,Fixed
MH-0671,Sanitary Pattern Load,0.0198,Fixed
MH-0664,Sanitary Pattern Load,0.0297,Fixed
MH-0648,Sanitary Pattern Load,0.0099,Fixed
MH-0624,Sanitary Pattern Load,0.0397,Fixed
MH-0713,Sanitary Pattern Load,0.0099,Fixed
MH-1245,Sanitary Pattern Load,0.0198,Fixed
MH-0611,Sanitary Pattern Load,0.0198,Fixed
MH-1328,Sanitary Pattern Load,0.0496,Fixed
MH-1313,Sanitary Pattern Load,0.0297,Fixed
MH-1283,Sanitary Pattern Load,0.0198,Fixed
MH-1309,Sanitary Pattern Load,0.0099,Fixed
MH-1278,Sanitary Pattern Load,0.0099,Fixed
MH-1301,Sanitary Pattern Load,0.0297,Fixed
MH-1107,Sanitary Pattern Load,0.0297,Fixed
MH-1138,Sanitary Pattern Load,0.0198,Fixed
MH-1082,Sanitary Pattern Load,0.0099,Fixed
MH-1114,Sanitary Pattern Load,0.0397,Fixed
MH-0087,Sanitary Pattern Load,0.0991,Fixed
MH-0483,Sanitary Pattern Load,0.228,Fixed
MH-0149,Sanitary Pattern Load,0.0595,Fixed
MH-0114,Sanitary Pattern Load,0.0099,Fixed
MH-0957,Sanitary Pattern Load,0.0198,Fixed
MH-0676,Sanitary Pattern Load,0.0198,Fixed
MH-0259,Sanitary Pattern Load,0.0099,Fixed
MH-0715,Sanitary Pattern Load,0.0099,Fixed
MH-0463,Sanitary Pattern Load,0.0595,Fixed
MH-0534,Sanitary Pattern Load,0.0297,Fixed
MH-0529,Sanitary Pattern Load,0.0595,Fixed
MH-0434,Sanitary Pattern Load,0.0198,Fixed
MH-0452,Sanitary Pattern Load,0.0297,Fixed
MH-0340,Sanitary Pattern Load,0.0397,Fixed
MH-0396,Sanitary Pattern Load,0.0595,Fixed
MH-0279,Sanitary Pattern Load,0.0694,Fixed
MH-0765,Sanitary Pattern Load,0.0198,Fixed
MH-0770,Sanitary Pattern Load,0.0198,Fixed
MH-0832,Sanitary Pattern Load,0.0991,Fixed
MH-1043,Sanitary Pattern Load,0.0297,Fixed
MH-1064,Sanitary Pattern Load,0.0099,Fixed
MH-1041,Sanitary Pattern Load,0.0297,Fixed
MH-1014,Sanitary Pattern Load,0.0099,Fixed
MH-1004,Sanitary Pattern Load,0.0099,Fixed
MH-0861,Sanitary Pattern Load,0.0397,Fixed
MH-0877,Sanitary Pattern Load,0.0297,Fixed
MH-0750,Sanitary Pattern Load,0.0297,Fixed
MH-0647,Sanitary Pattern Load,0.0297,Fixed
MH-0777,Sanitary Pattern Load,0.0198,Fixed
MH-0678,Sanitary Pattern Load,0.0198,Fixed
MH-0615,Sanitary Pattern Load,0.0892,Fixed
MH-0392,Sanitary Pattern Load,0.0099,Fixed
MH-0350,Sanitary Pattern Load,0.0297,Fixed
MH-0490,Sanitary Pattern Load,0.0198,Fixed
MH-0439,Sanitary Pattern Load,0.0694,Fixed
MH-0394,Sanitary Pattern Load,0.0892,Fixed
MH-0367,Sanitary Pattern Load,0.0297,Fixed
MH-0346,Sanitary Pattern Load,0.1289,Fixed
MH-0275,Sanitary Pattern Load,0.0595,Fixed
MH-0283,Sanitary Pattern Load,0.0198,Fixed
MH-0217,Sanitary Pattern Load,0.0397,Fixed
MH-0227,Sanitary Pattern Load,0.0397,Fixed
MH-0479,Sanitary Pattern Load,0.228,Fixed
MH-0093,Sanitary Pattern Load,0.0496,Fixed
MH-0009,Sanitary Pattern Load,0.0099,Fixed
MH-0015,Sanitary Pattern Load,0.0297,Fixed
MH-0109,Sanitary Pattern Load,0.0892,Fixed
MH-0169,Sanitary Pattern Load,0.0496,Fixed
MH-0224,Sanitary Pattern Load,0.0297,Fixed
MH-0201,Sanitary Pattern Load,0.0198,Fixed
MH-0061,Sanitary Pattern Load,0.1289,Fixed
MH-0337,Sanitary Pattern Load,0.0595,Fixed
MH-0282,Sanitary Pattern Load,0.0397,Fixed
MH-0530,Sanitary Pattern Load,0.0892,Fixed
MH-0073,Sanitary Pattern Load,0.0397,Fixed
MH-0123,Sanitary Pattern Load,0.0198,Fixed
MH-0251,Sanitary Pattern Load,0.0198,Fixed
MH-1379,Sanitary Pattern Load,0.1289,Fixed
MH-1159,Sanitary Pattern Load,0.0297,Fixed
MH-0965,Sanitary Pattern Load,0.0099,Fixed
MH-1100,Sanitary Pattern Load,0.0297,Fixed
MH-1364,Sanitary Pattern Load,0.0892,Fixed
MH-1146,Sanitary Pattern Load,0.0892,Fixed
MH-1055,Sanitary Pattern Load,0.0099,Fixed
MH-1089,Sanitary Pattern Load,0.0099,Fixed
MH-1019,Sanitary Pattern Load,0.0694,Fixed
