LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0001,200,16.181,2.09,0.463,0.219,,,,,
P-0002,200,5.0,1.64,0.43,0.194,,,,,
P-0003,200,5.0,2.77,0.503,0.252,,,,,
P-0004,200,5.0,2.8,0.505,0.254,,,,,
P-0005,200,5.0,8.78,0.695,0.464,,,,,
P-0006,200,5.0,0.39,0.276,0.099,,,,,
P-0007,200,7.358,0.71,0.374,0.12,,,,,
P-0008,200,6.142,0.99,0.397,0.145,,,,,
P-0009,200,5.0,1.1,0.381,0.16,,,,,
P-0010,200,6.911,0.0,0.024,0.006,,,,,
P-0011,200,6.911,0.0,0.033,0.008,,,,,
P-0012,200,6.911,0.0,0.035,0.008,,,,,
P-0013,200,6.697,1.56,0.47,0.177,,,,,
P-0014,200,5.101,0.36,0.267,0.095,,,,,
P-0015,200,5.101,0.57,0.31,0.118,,,,,
P-0016,200,5.0,0.04,0.125,0.034,,,,,
P-0017,200,5.0,0.07,0.158,0.046,,,,,
P-0018,200,5.0,0.14,0.199,0.062,,,,,
P-0019,200,5.0,7.92,0.677,0.437,,,,,
P-0020,200,5.0,7.97,0.678,0.439,,,,,
P-0021,200,11.484,0.67,0.437,0.104,,,,,
P-0022,200,5.0,0.14,0.199,0.063,,,,,
P-0023,200,5.0,0.25,0.239,0.08,,,,,
P-0024,200,5.0,0.04,0.126,0.034,,,,,
P-0025,200,5.0,0.07,0.159,0.046,,,,,
P-0026,200,5.0,0.07,0.159,0.046,,,,,
P-0027,200,5.0,0.14,0.199,0.063,,,,,
P-0028,250,3.75,23.62,0.792,0.648,,,,,
P-0029,250,7.058,19.04,0.961,0.465,,,,,
P-0030,250,3.75,19.04,0.756,0.563,,,,,
P-0031,250,3.75,19.09,0.756,0.563,,,,,
P-0032,250,3.776,19.14,0.759,0.563,,,,,
P-0033,200,5.0,1.32,0.402,0.175,,,,,
P-0034,200,5.0,1.35,0.406,0.177,,,,,
P-0035,200,5.0,1.39,0.409,0.179,,,,,
P-0036,200,5.0,5.69,0.619,0.365,,,,,
P-0037,200,5.0,5.69,0.619,0.365,,,,,
P-0038,200,5.0,5.69,0.619,0.365,,,,,
P-0039,200,5.0,5.69,0.619,0.365,,,,,
P-0040,200,5.0,5.72,0.62,0.366,,,,,
P-0041,250,3.75,15.75,0.722,0.501,,,,,
P-0042,200,5.0,3.19,0.525,0.271,,,,,
P-0043,200,5.0,2.31,0.477,0.23,,,,,
P-0044,200,5.0,2.09,0.463,0.219,,,,,
P-0045,200,5.0,2.31,0.477,0.23,,,,,
P-0046,200,5.0,2.31,0.477,0.23,,,,,
P-0047,315,2.7,24.37,0.71,0.498,,,,,
P-0048,315,2.7,24.45,0.711,0.498,,,,,
P-0049,315,2.7,24.45,0.711,0.498,,,,,
P-0050,200,5.0,4.47,0.578,0.322,,,,,
P-0051,200,5.0,4.74,0.588,0.332,,,,,
P-0052,200,5.0,4.8,0.59,0.334,,,,,
P-0053,200,5.0,4.8,0.59,0.334,,,,,
P-0054,315,2.7,24.27,0.71,0.496,,,,,
P-0055,315,2.7,24.27,0.71,0.496,,,,,
P-0056,315,2.7,24.27,0.71,0.496,,,,,
P-0057,200,5.0,2.24,0.472,0.227,,,,,
P-0058,200,5.0,2.06,0.461,0.218,,,,,
P-0059,200,5.0,0.0,0.027,0.006,,,,,
P-0060,200,5.0,1.38,0.409,0.179,,,,,
P-0061,200,53.867,0.18,0.479,0.04,,,,,
P-0062,200,5.0,0.0,0.026,0.006,,,,,
P-0063,200,49.519,0.18,0.466,0.041,,,,,
